"businessentityid","departmentid","shiftid","startdate","enddate","modifieddate"
1,16,1,2009-01-14,,2009-01-13 00:00:00.000
2,1,1,2008-01-31,,2008-01-30 00:00:00.000
3,1,1,2007-11-11,,2007-11-10 00:00:00.000
4,1,1,2007-12-05,2010-05-30,2010-05-28 00:00:00.000
4,2,1,2010-05-31,,2010-05-30 00:00:00.000
5,1,1,2008-01-06,,2008-01-05 00:00:00.000
6,1,1,2008-01-24,,2008-01-23 00:00:00.000
7,6,1,2009-02-08,,2009-02-07 00:00:00.000
8,6,1,2008-12-29,,2008-12-28 00:00:00.000
9,6,1,2009-01-16,,2009-01-15 00:00:00.000
10,6,1,2009-05-03,,2009-05-02 00:00:00.000
11,2,1,2010-12-05,,2010-12-04 00:00:00.000
12,2,1,2007-12-11,,2007-12-10 00:00:00.000
13,2,1,2010-12-23,,2010-12-22 00:00:00.000
14,1,1,2010-12-30,,2010-12-29 00:00:00.000
15,1,1,2011-01-18,,2011-01-17 00:00:00.000
16,5,1,2007-12-20,2009-07-14,2009-07-12 00:00:00.000
16,4,1,2009-07-15,,2009-07-14 00:00:00.000
17,4,1,2007-01-26,,2007-01-25 00:00:00.000
18,4,1,2011-02-07,,2011-02-06 00:00:00.000
19,4,1,2011-02-14,,2011-02-13 00:00:00.000
20,4,1,2011-01-07,,2011-01-06 00:00:00.000
21,4,1,2009-03-02,,2009-03-01 00:00:00.000
22,4,1,2008-12-12,,2008-12-11 00:00:00.000
23,4,1,2009-01-12,,2009-01-11 00:00:00.000
24,4,1,2009-01-18,,2009-01-17 00:00:00.000
25,7,1,2009-02-03,,2009-02-02 00:00:00.000
26,8,1,2008-12-01,,2008-11-30 00:00:00.000
27,7,1,2008-02-27,,2008-02-26 00:00:00.000
28,7,1,2006-06-30,,2006-06-29 00:00:00.000
29,7,1,2009-01-23,,2009-01-22 00:00:00.000
30,7,1,2009-01-29,,2009-01-28 00:00:00.000
31,7,1,2009-01-04,,2009-01-03 00:00:00.000
32,7,1,2008-12-29,,2008-12-28 00:00:00.000
33,7,1,2008-12-17,,2008-12-16 00:00:00.000
34,7,1,2009-02-16,,2009-02-15 00:00:00.000
35,7,1,2009-02-08,,2009-02-07 00:00:00.000
36,7,1,2009-02-10,,2009-02-09 00:00:00.000
37,7,1,2009-03-07,,2009-03-06 00:00:00.000
38,7,1,2010-01-16,,2010-01-15 00:00:00.000
39,7,1,2010-02-05,,2010-02-04 00:00:00.000
40,7,3,2007-12-26,,2007-12-25 00:00:00.000
41,7,3,2009-01-21,,2009-01-20 00:00:00.000
42,7,3,2008-12-27,,2008-12-26 00:00:00.000
43,7,3,2009-01-02,,2009-01-01 00:00:00.000
44,7,3,2008-12-08,,2008-12-07 00:00:00.000
45,7,3,2009-02-26,,2009-02-25 00:00:00.000
46,7,3,2009-02-08,,2009-02-07 00:00:00.000
47,7,1,2009-02-22,,2009-02-21 00:00:00.000
48,7,1,2008-01-06,,2008-01-05 00:00:00.000
49,7,1,2008-01-07,,2008-01-06 00:00:00.000
50,7,1,2008-02-02,,2008-02-01 00:00:00.000
51,7,1,2008-02-20,,2008-02-19 00:00:00.000
52,7,1,2008-03-10,,2008-03-09 00:00:00.000
53,7,1,2008-03-28,,2008-03-27 00:00:00.000
54,7,1,2010-01-01,,2009-12-31 00:00:00.000
55,7,3,2008-02-08,,2008-02-07 00:00:00.000
56,7,3,2009-02-05,,2009-02-04 00:00:00.000
57,7,3,2009-02-23,,2009-02-22 00:00:00.000
58,7,3,2008-12-05,,2008-12-04 00:00:00.000
59,7,3,2008-12-24,,2008-12-23 00:00:00.000
60,7,3,2009-01-11,,2009-01-10 00:00:00.000
61,7,3,2009-01-18,,2009-01-17 00:00:00.000
62,7,2,2008-03-17,,2008-03-16 00:00:00.000
63,7,2,2010-01-29,,2010-01-28 00:00:00.000
64,7,2,2010-02-23,,2010-02-22 00:00:00.000
65,7,2,2010-02-23,,2010-02-22 00:00:00.000
66,7,2,2009-12-22,,2009-12-21 00:00:00.000
67,7,2,2009-03-05,,2009-03-04 00:00:00.000
68,7,2,2009-12-03,,2009-12-02 00:00:00.000
69,7,2,2009-02-15,,2009-02-14 00:00:00.000
70,7,2,2008-12-15,,2008-12-14 00:00:00.000
71,7,3,2009-02-15,,2009-02-14 00:00:00.000
72,7,3,2008-12-01,,2008-11-30 00:00:00.000
73,7,3,2008-12-19,,2008-12-18 00:00:00.000
74,7,3,2009-01-07,,2009-01-06 00:00:00.000
75,7,3,2009-01-26,,2009-01-25 00:00:00.000
76,7,3,2009-02-12,,2009-02-11 00:00:00.000
77,7,3,2009-03-03,,2009-03-02 00:00:00.000
78,7,2,2008-12-15,,2008-12-14 00:00:00.000
79,7,2,2010-01-24,,2010-01-23 00:00:00.000
80,7,2,2010-01-17,,2010-01-16 00:00:00.000
81,7,2,2009-12-29,,2009-12-28 00:00:00.000
82,7,2,2010-03-03,,2010-03-02 00:00:00.000
83,7,2,2010-02-12,,2010-02-11 00:00:00.000
84,7,2,2010-02-05,,2010-02-04 00:00:00.000
85,7,2,2009-12-11,,2009-12-10 00:00:00.000
86,7,2,2009-01-05,,2009-01-04 00:00:00.000
87,7,3,2008-12-22,,2008-12-21 00:00:00.000
88,7,3,2009-12-18,,2009-12-17 00:00:00.000
89,7,3,2010-02-01,,2010-01-31 00:00:00.000
90,7,3,2010-02-20,,2010-02-19 00:00:00.000
91,7,3,2010-01-12,,2010-01-11 00:00:00.000
92,7,3,2010-03-10,,2010-03-09 00:00:00.000
93,7,2,2008-12-27,,2008-12-26 00:00:00.000
94,7,2,2008-12-12,,2008-12-11 00:00:00.000
95,7,2,2008-12-19,,2008-12-18 00:00:00.000
96,7,2,2009-03-02,,2009-03-01 00:00:00.000
97,7,2,2009-02-10,,2009-02-09 00:00:00.000
98,7,2,2009-02-11,,2009-02-10 00:00:00.000
99,7,2,2009-01-06,,2009-01-05 00:00:00.000
100,7,2,2009-01-12,,2009-01-11 00:00:00.000
101,7,2,2009-01-25,,2009-01-24 00:00:00.000
102,7,2,2008-12-03,,2008-12-02 00:00:00.000
103,7,2,2009-12-06,,2009-12-05 00:00:00.000
104,7,2,2009-12-25,,2009-12-24 00:00:00.000
105,7,2,2009-12-25,,2009-12-24 00:00:00.000
106,7,2,2010-02-27,,2010-02-26 00:00:00.000
107,7,2,2010-02-08,,2010-02-07 00:00:00.000
108,7,1,2008-12-08,,2008-12-07 00:00:00.000
109,7,1,2008-12-07,,2008-12-06 00:00:00.000
110,7,1,2008-12-14,,2008-12-13 00:00:00.000
111,7,1,2008-12-17,,2008-12-16 00:00:00.000
112,7,1,2009-01-01,,2008-12-31 00:00:00.000
113,7,1,2008-12-25,,2008-12-24 00:00:00.000
114,7,1,2009-01-13,,2009-01-12 00:00:00.000
115,7,1,2009-01-20,,2009-01-19 00:00:00.000
116,7,1,2009-01-31,,2009-01-30 00:00:00.000
117,7,1,2009-02-18,,2009-02-17 00:00:00.000
118,7,1,2009-02-13,,2009-02-12 00:00:00.000
119,7,1,2009-02-25,,2009-02-24 00:00:00.000
120,7,1,2009-03-04,,2009-03-03 00:00:00.000
121,15,1,2009-01-02,,2009-01-01 00:00:00.000
122,15,2,2008-12-07,,2008-12-06 00:00:00.000
123,15,2,2008-12-07,,2008-12-06 00:00:00.000
124,15,3,2008-12-26,,2008-12-25 00:00:00.000
125,15,1,2009-01-20,,2009-01-19 00:00:00.000
126,15,1,2009-02-26,,2009-02-25 00:00:00.000
127,7,3,2009-01-03,,2009-01-02 00:00:00.000
128,7,3,2008-12-04,,2008-12-03 00:00:00.000
129,7,3,2008-12-22,,2008-12-21 00:00:00.000
130,7,3,2009-02-13,,2009-02-12 00:00:00.000
131,7,3,2009-02-15,,2009-02-14 00:00:00.000
132,7,3,2009-02-22,,2009-02-21 00:00:00.000
133,7,3,2009-01-10,,2009-01-09 00:00:00.000
134,7,1,2009-01-14,,2009-01-13 00:00:00.000
135,7,1,2008-12-04,,2008-12-03 00:00:00.000
136,7,1,2009-12-11,,2009-12-10 00:00:00.000
137,7,1,2009-02-23,,2009-02-22 00:00:00.000
138,7,1,2009-02-04,,2009-02-03 00:00:00.000
139,7,1,2010-01-06,,2010-01-05 00:00:00.000
140,7,1,2010-01-22,,2010-01-21 00:00:00.000
141,7,1,2010-01-24,,2010-01-23 00:00:00.000
142,7,1,2010-03-04,,2010-03-03 00:00:00.000
143,7,1,2010-02-13,,2010-02-12 00:00:00.000
144,7,1,2009-01-17,,2009-01-16 00:00:00.000
145,7,2,2009-01-27,,2009-01-26 00:00:00.000
146,7,2,2008-12-07,,2008-12-06 00:00:00.000
147,7,2,2008-12-26,,2008-12-25 00:00:00.000
148,7,2,2009-01-14,,2009-01-13 00:00:00.000
149,7,2,2009-01-31,,2009-01-30 00:00:00.000
150,7,2,2009-02-26,,2009-02-25 00:00:00.000
151,7,2,2009-02-19,,2009-02-18 00:00:00.000
152,7,2,2009-02-01,,2009-01-31 00:00:00.000
153,7,2,2008-12-16,,2008-12-15 00:00:00.000
154,7,2,2008-12-23,,2008-12-22 00:00:00.000
155,7,2,2009-01-04,,2009-01-03 00:00:00.000
156,7,2,2009-01-11,,2009-01-10 00:00:00.000
157,7,2,2009-02-03,,2009-02-02 00:00:00.000
158,7,2,2009-03-07,,2009-03-06 00:00:00.000
159,7,2,2009-02-16,,2009-02-15 00:00:00.000
160,7,1,2009-01-21,,2009-01-20 00:00:00.000
161,7,1,2008-12-15,,2008-12-14 00:00:00.000
162,7,1,2009-01-03,,2009-01-02 00:00:00.000
163,7,1,2009-02-08,,2009-02-07 00:00:00.000
164,7,1,2009-03-06,,2009-03-05 00:00:00.000
165,7,1,2009-01-22,,2009-01-21 00:00:00.000
166,7,1,2009-02-21,,2009-02-20 00:00:00.000
167,7,1,2008-12-02,,2008-12-01 00:00:00.000
168,7,1,2008-12-07,,2008-12-06 00:00:00.000
169,7,1,2008-12-14,,2008-12-13 00:00:00.000
170,7,1,2008-12-21,,2008-12-20 00:00:00.000
171,7,1,2009-01-02,,2009-01-01 00:00:00.000
172,7,1,2009-01-16,,2009-01-15 00:00:00.000
173,7,1,2009-01-21,,2009-01-20 00:00:00.000
174,7,1,2009-01-27,,2009-01-26 00:00:00.000
175,7,1,2009-02-02,,2009-02-01 00:00:00.000
176,7,1,2009-02-14,,2009-02-13 00:00:00.000
177,7,1,2009-02-21,,2009-02-20 00:00:00.000
178,7,1,2009-03-03,,2009-03-02 00:00:00.000
179,7,1,2009-03-05,,2009-03-04 00:00:00.000
180,7,3,2009-02-20,,2009-02-19 00:00:00.000
181,7,3,2008-12-09,,2008-12-08 00:00:00.000
182,7,3,2008-12-28,,2008-12-27 00:00:00.000
183,7,3,2009-01-22,,2009-01-21 00:00:00.000
184,7,3,2009-02-09,,2009-02-08 00:00:00.000
185,7,3,2009-02-28,,2009-02-27 00:00:00.000
186,7,2,2009-02-08,,2009-02-07 00:00:00.000
187,7,2,2008-12-09,,2008-12-08 00:00:00.000
188,7,2,2008-12-27,,2008-12-26 00:00:00.000
189,7,2,2009-01-15,,2009-01-14 00:00:00.000
190,7,2,2009-02-02,,2009-02-01 00:00:00.000
191,7,2,2009-02-26,,2009-02-25 00:00:00.000
192,7,1,2009-03-05,,2009-03-04 00:00:00.000
193,7,1,2008-12-06,,2008-12-05 00:00:00.000
194,7,1,2008-12-12,,2008-12-11 00:00:00.000
195,7,1,2008-12-17,,2008-12-16 00:00:00.000
196,7,1,2008-12-24,,2008-12-23 00:00:00.000
197,7,1,2008-12-31,,2008-12-30 00:00:00.000
198,7,1,2009-01-04,,2009-01-03 00:00:00.000
199,7,1,2009-01-12,,2009-01-11 00:00:00.000
200,7,1,2009-01-17,,2009-01-16 00:00:00.000
201,7,1,2009-01-29,,2009-01-28 00:00:00.000
202,7,1,2009-02-05,,2009-02-04 00:00:00.000
203,7,1,2009-02-24,,2009-02-23 00:00:00.000
204,7,1,2009-03-08,,2009-03-07 00:00:00.000
205,7,3,2009-02-26,,2009-02-25 00:00:00.000
206,7,3,2008-12-02,,2008-12-01 00:00:00.000
207,7,3,2008-12-02,,2008-12-01 00:00:00.000
208,7,3,2009-01-08,,2009-01-07 00:00:00.000
209,7,3,2009-01-27,,2009-01-26 00:00:00.000
210,7,3,2009-02-20,,2009-02-19 00:00:00.000
211,13,1,2009-02-28,,2009-02-27 00:00:00.000
212,13,1,2008-12-09,,2008-12-08 00:00:00.000
213,13,3,2010-02-23,,2010-02-22 00:00:00.000
214,13,2,2009-02-02,,2009-02-01 00:00:00.000
215,13,1,2009-01-15,,2009-01-14 00:00:00.000
216,13,1,2008-12-28,,2008-12-27 00:00:00.000
217,12,1,2009-01-04,,2009-01-03 00:00:00.000
218,12,3,2008-12-16,,2008-12-15 00:00:00.000
219,12,1,2009-01-22,,2009-01-21 00:00:00.000
220,12,1,2009-02-09,,2009-02-08 00:00:00.000
221,12,2,2009-03-06,,2009-03-05 00:00:00.000
222,8,1,2008-12-12,,2008-12-11 00:00:00.000
223,8,1,2009-01-26,,2009-01-25 00:00:00.000
224,7,1,2009-01-07,2011-08-31,2011-08-29 00:00:00.000
224,8,1,2011-09-01,,2011-08-31 00:00:00.000
225,8,2,2009-02-13,,2009-02-12 00:00:00.000
226,8,3,2009-03-03,,2009-03-02 00:00:00.000
227,14,1,2009-12-02,,2009-12-01 00:00:00.000
228,14,1,2008-12-14,,2008-12-13 00:00:00.000
229,14,3,2010-02-16,,2010-02-15 00:00:00.000
230,14,2,2010-03-05,,2010-03-04 00:00:00.000
231,14,3,2010-03-07,,2010-03-06 00:00:00.000
232,14,2,2010-01-27,,2010-01-26 00:00:00.000
233,14,1,2009-12-21,,2009-12-20 00:00:00.000
234,10,1,2009-01-31,2013-11-13,2013-11-11 00:00:00.000
234,16,1,2013-11-14,,2013-11-13 00:00:00.000
235,9,1,2008-12-06,,2008-12-05 00:00:00.000
236,9,1,2009-02-25,,2009-02-24 00:00:00.000
237,9,1,2009-02-06,,2009-02-05 00:00:00.000
238,9,1,2009-01-01,,2008-12-31 00:00:00.000
239,9,1,2008-12-25,,2008-12-24 00:00:00.000
240,9,1,2008-12-13,,2008-12-12 00:00:00.000
241,10,1,2009-01-30,,2009-01-29 00:00:00.000
242,10,1,2008-12-18,,2008-12-17 00:00:00.000
243,10,1,2009-01-06,,2009-01-05 00:00:00.000
244,10,1,2009-01-24,,2009-01-23 00:00:00.000
245,10,1,2009-02-18,,2009-02-17 00:00:00.000
246,10,1,2009-02-11,,2009-02-10 00:00:00.000
247,10,1,2009-03-01,,2009-02-28 00:00:00.000
248,10,1,2009-03-08,,2009-03-07 00:00:00.000
249,10,1,2008-12-25,,2008-12-24 00:00:00.000
250,4,1,2011-02-25,2011-07-30,2011-07-28 00:00:00.000
250,13,1,2011-07-31,2012-07-14,2012-07-12 00:00:00.000
250,5,1,2012-07-15,,2012-07-14 00:00:00.000
251,5,1,2009-02-10,,2009-02-09 00:00:00.000
252,5,1,2009-02-28,,2009-02-27 00:00:00.000
253,5,1,2009-12-17,,2009-12-16 00:00:00.000
254,5,1,2010-01-04,,2010-01-03 00:00:00.000
255,5,1,2010-01-11,,2010-01-10 00:00:00.000
256,5,1,2010-01-23,,2010-01-22 00:00:00.000
257,5,1,2010-01-27,,2010-01-26 00:00:00.000
258,5,1,2010-01-31,,2010-01-30 00:00:00.000
259,5,1,2010-03-09,,2010-03-08 00:00:00.000
260,5,1,2010-12-06,,2010-12-05 00:00:00.000
261,5,1,2010-12-25,,2010-12-24 00:00:00.000
262,10,1,2009-01-12,,2009-01-11 00:00:00.000
263,11,1,2008-12-11,,2008-12-10 00:00:00.000
264,11,1,2009-02-04,,2009-02-03 00:00:00.000
265,11,2,2008-12-04,,2008-12-03 00:00:00.000
266,11,1,2009-02-23,,2009-02-22 00:00:00.000
267,11,1,2009-02-16,,2009-02-15 00:00:00.000
268,11,1,2009-02-03,,2009-02-02 00:00:00.000
269,11,1,2009-01-11,,2009-01-10 00:00:00.000
270,11,1,2009-01-17,,2009-01-16 00:00:00.000
271,11,1,2009-01-22,,2009-01-21 00:00:00.000
272,11,1,2008-12-23,,2008-12-22 00:00:00.000
273,3,1,2011-02-15,,2011-02-14 00:00:00.000
274,3,1,2011-01-04,,2011-01-03 00:00:00.000
275,3,1,2011-05-31,,2011-05-30 00:00:00.000
276,3,1,2011-05-31,,2011-05-30 00:00:00.000
277,3,1,2011-05-31,,2011-05-30 00:00:00.000
278,3,1,2011-05-31,,2011-05-30 00:00:00.000
279,3,1,2011-05-31,,2011-05-30 00:00:00.000
280,3,1,2011-05-31,,2011-05-30 00:00:00.000
281,3,1,2011-05-31,,2011-05-30 00:00:00.000
282,3,1,2011-05-31,,2011-05-30 00:00:00.000
283,3,1,2011-05-31,,2011-05-30 00:00:00.000
284,3,1,2012-09-30,,2012-09-29 00:00:00.000
285,3,1,2013-03-14,,2013-03-13 00:00:00.000
286,3,1,2013-05-30,,2013-05-29 00:00:00.000
287,3,1,2012-04-16,,2012-04-15 00:00:00.000
288,3,1,2013-05-30,,2013-05-29 00:00:00.000
289,3,1,2012-05-30,,2012-05-29 00:00:00.000
290,3,1,2012-05-30,,2012-05-29 00:00:00.000
