"productmodelid","name","catalogdescription","instructions","rowguid","modifieddate"
35,Touring-2000,"<?xml-stylesheet href=""ProductDescription.xsl"" type=""text/xsl""?><p1:ProductDescription xmlns:p1=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelDescription"" xmlns:wm=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelWarrAndMain"" xmlns:wf=""http://www.adventure-works.com/schemas/OtherFeatures"" xmlns:html=""http://www.w3.org/1999/xhtml"" ProductModelID=""35"" ProductModelName=""Touring-2000""><p1:Summary><html:p>The plush custom saddle keeps you riding all day, and there's plenty of space\n			 to add panniers and bike bags to the newly-redesigned carrier. \n				This bike has great stability when fully-loaded.\n                        </html:p></p1:Summary><p1:Manufacturer><p1:Name>AdventureWorks</p1:Name><p1:Copyright>2002</p1:Copyright><p1:ProductURL>HTTP://www.Adventure-works.com</p1:ProductURL></p1:Manufacturer><p1:Features>These are the product highlights. \n                 <wm:Warranty><wm:WarrantyPeriod>1 year</wm:WarrantyPeriod><wm:Description>parts and labor</wm:Description></wm:Warranty><wm:Maintenance><wm:NoOfYears>5 years</wm:NoOfYears><wm:Description>maintenance contact available through dealer</wm:Description></wm:Maintenance><wf:handlebar>A light yet stiff aluminum bar for long distance riding.</wf:handlebar><wf:saddle><html:i>New design </html:i> relieves pressure for long rides.</wf:saddle><wf:pedal><html:b>Top-of-the-line</html:b> clipless pedals with adjustable tension.</wf:pedal><wf:crankset> High-strength crank arm. </wf:crankset><wf:BikeFrame>The aluminum frame is custom-shaped for both good looks and strength; \n				it will withstand the most rigorous challenges of daily riding.</wf:BikeFrame></p1:Features><!-- add one or more of these elements... one for each specific product in this product model --><p1:Picture><p1:Angle>front</p1:Angle><p1:Size>small</p1:Size><p1:ProductPhotoID>87</p1:ProductPhotoID></p1:Picture><!-- add any tags in <specifications> --><p1:Specifications> These are the product specifications.\n<Material>Aluminum</Material><Color>Available in all colors except metallic.</Color><ProductLine>Touring bike</ProductLine><Style>Men's</Style><FrameMaterial>Aluminium alloy</FrameMaterial><RiderExperience>Intermediate to Advanced riders</RiderExperience></p1:Specifications></p1:ProductDescription>",[NULL],aa10d9e6-e33f-4da8-ace1-992fcd6bb171,2012-10-19 09:56:38.273
36,Touring-3000,[NULL],[NULL],f5a6ec78-4451-45db-955f-db197de8b059,2012-10-19 09:56:38.273
37,Women's Mountain Shorts,[NULL],[NULL],a08dd61a-6155-4051-9a11-223232ea51cd,2013-04-30 00:00:00.000
38,Women's Tights,[NULL],[NULL],a96ff80d-d52a-432f-9701-731bef16efcc,2012-04-30 00:00:00.000
39,Mountain-400,[NULL],[NULL],"37d261a7-00cf-4880-ac1a-533b6b4365b0",2011-05-01 00:00:00.000
40,Road-550,[NULL],[NULL],"30450264-4ab8-45e0-8bb5-4d407ea2950a",2012-04-30 00:00:00.000
41,Road-350,[NULL],[NULL],d71bd21c-239e-4c2b-98a3-101962d6b2d3,2012-10-19 09:56:38.273
42,LL Mountain Front Wheel,[NULL],[NULL],aa977b32-acd8-4c53-a560-88a02ac1954d,2012-10-19 09:56:38.273
43,Touring Rear Wheel,[NULL],"<root xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelManuInstructions"">\n                Adventure Works CyclesWA-150C Instructions for Assembling Touring Front Wheel Summary: This document contains manufacturing instructions for assembling the Touring Front Wheel, Product Model 43. Instructions are work center specific and are identified by work center ID. These instructions must be followed in the order presented. Deviation from the instructions is not permitted unless an authorized Change Order detailing the deviation is provided by the Engineering Manager.<Location LaborHours=""3"" LotSize=""1"" LocationID=""50"">\n                    Work Center - 50 Frame Forming. The following instructions pertain to Work Center 10. (Setup hours = .0, Labor Hours = 3, Machine Hours = 0, Lot Sizing = 1)<step>\n                        Inspect the <material>rim</material> for dents, cracks or other damage.\n                    </step><step>\n                        Slide each <material>spoke</material> through the <material>hub flange</material> working in a clockwise direction.\n                    </step><step>\n                        For each spoke, screw on the <material>spoke nipple (NI-9522)</material>. Do not over tighten.\n                    </step><step>\n                        Place the <material>wheel</material> in the truing stand.\n                    </step><step>Pluck each spoke. The sound from each spoke should be consistent. Adjust as needed. </step><step>\n                        Inflate the <material>tire tube</material>to one-quarter pressure.\n                    </step><step>\n                        Insert the <material>valve stem</material> through <material>Rim RM-M823</material>.\n                    </step><step>Tuck the tube into the tire ensuring there are no wrinkles or kinks.</step><step>Inflate the tube to half pressure. </step><step>Spin the wheel and ensure the bead line is just above the rim. </step><step>Inflate the tube to 35 PSI.</step><step>\nAttach reflector as shown in illustration <diag>7</diag></step></Location></root>",e878fcaa-61cc-4014-988a-51f52643f7aa,2015-04-15 16:34:28.997
44,Touring Front Wheel,[NULL],"<root xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelManuInstructions"">\n                Adventure Works CyclesWA-151C Instructions for Assembling Touring Rear Wheel Summary: This document contains manufacturing instructions for assembling the Touring Rear Wheel, Product Model 44. Instructions are work center specific and are identified by work center ID. These instructions must be followed in the order presented. Deviation from the instructions is not permitted unless an authorized Change Order detailing the deviation is provided by the Engineering Manager.<Location LaborHours=""3"" LotSize=""1"" LocationID=""50"">\n                    Work Center - 50 Frame Forming. The following instructions pertain to Work Center 10. (Setup hours = .0, Labor Hours = 3, Machine Hours = 0, Lot Sizing = 1)<step>\n                        Inspect the <material>rim</material> for dents, cracks or other damage.\n                    </step><step>\n                        Slide each <material>spoke</material> through the <material>hub flange</material> working in a clockwise direction.\n                    </step><step>\n                        For each spoke, screw on the <material>spoke nipple (NI-9525)</material>. Do not over tighten.\n                    </step><step>\n                        Place the wheel in the <tool>truing stand</tool>.\n                    </step><step>Pluck each spoke. The sound from each spoke should be consistent. Adjust as needed.</step><step>Inflate the tire tube to one-quarter pressure.</step><step>\n                        Insert the <material>valve stem</material> through <material>Rim RM-M825</material>.\n</step><step>Tuck the tube into the tire ensuring there are no wrinkles or kinks.</step><step>Inflate the tube to half pressure. </step><step>Spin the wheel and ensure the bead line is just above the rim.</step><step>Inflate the tube to 35 PSI.</step></Location></root>","6da78798-3793-4b8e-829e-dba9d140b1d4",2015-04-15 16:34:28.997
45,ML Mountain Front Wheel,[NULL],[NULL],c3ff3f93-60a8-4957-b076-b7d0984ee70f,2012-04-30 00:00:00.000
46,HL Mountain Front Wheel,[NULL],[NULL],cca597fb-195f-4ec5-bf5c-15b98d176f4c,2012-04-30 00:00:00.000
47,LL Touring Handlebars,[NULL],"<root xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelManuInstructions"">\n                Adventure Works CyclesWA-190A Instructions for Manufacturing and Assembling the LL Touring Handlebars Summary: This document contains manufacturing instructions for manufacturing and assembling the LL Touring Handlebars, Product Model 47. Instructions are work center specific and are identified by work center ID. These instructions must be followed in the order presented. Deviation from the instructions is not permitted unless an authorized Change Order detailing the deviation is provided by the Engineering Manager.<Location LaborHours=""1"" LotSize=""100"" MachineHours=""2"" SetupHours=""0.1"" LocationID=""10"">\n                    Work Center 10 - Frame Forming. The following instructions pertain to Work Center 10. (Setup hours = .10, Labor Hours = 1, Machine Hours = 2, Lot Sizing = 100)<step>\n                        Insert <material>aluminum sheet MS-2259</material> into tool <tool>T-50 Tube Forming tool</tool>.\n                    </step><step>\n                        Attach <tool>Trim Jig TJ-8</tool> to the upper and lower right corners of the aluminum sheet.\n                    </step><step>Route the aluminum sheet following the jig carefully. </step><step>\n                        Insert the cut pieces into <tool>Tube Forming Tool FT-90</tool> and press Start.\n                    </step><step>\n                        When finished, inspect the form for defects per Inspection Specification <specs>INFS-90</specs>.\n                    </step><step>Remove the lengths of tube from the tool and place it in the Completed or Rejected bin as appropriate.</step></Location><Location LaborHours=""1"" LotSize=""1"" MachineHours=""1.75"" SetupHours=""0.25"" LocationID=""20"">\n                    Work Center 20 - Frame Welding. The following instructions pertain to Work Center 20. (Setup hours = .25, Labor Hours = 1.0, Machine Hours = 1.75, Lot Sizing = 1)<step>\n                        Assemble all <material>handlebar components</material> following blueprint <blueprint>1111</blueprint>.\n                    </step><step>\n                        Weld all components together as shown in illustration <diag>5</diag></step><step>\n                        Inspect all weld joints per Adventure Works Cycles Inspection Specification <specs>INFS-222</specs>.\n                    </step></Location><Location LaborHours=""3.5"" LotSize=""1"" LocationID=""50"">\n                    Work Center - 50 Frame Forming. The following instructions pertain to Work Center 10. (Setup hours = .0, Labor Hours = 3.5, Machine Hours = 0, Lot Sizing = 1)<step>\n                        Slide the <material>stem</material> onto the <material>handlebar</material> centering it over the knurled section.\n                    </step><step>Take care not to scratch the handlebar.</step><step>The ends of the handlebar should turn toward the rear. </step><step>\n                        Attach the <material>Pinch Bolt (Product Number PB-6109)</material>, <material>Lock Washer 10 (Product Number LW-1210)</material>, and <material>Lock Nut 7 (Product Number LN-1224)</material> onto the stem.\n                    </step><step>Tighten the nut just enough to keep the handlebar from rotating in the stem. Do not over tighten. </step><step>\n                        Put a <material>Flat Washer 1 (Product Number FW-1000)</material> onto the stem bolt, and then insert the bolt down into the stem.\n                    </step><step>\n                        Thread the plug nut onto the stem bolt aligning it with the stem body as shown in illustration <diag>4</diag>. Insert the stem down into the lock nut until the minimum insertion line marked on the stem is hidden inside the nut.\n                    </step><step>\n                        Attach the <material>grips</material>.\n                    </step><step>\n                        Inspect per specification <specs>FI-225</specs>.\n</step></Location></root>","84138622-1ea6-489f-9c98-6e3924cfbac0",2015-04-15 16:34:29.010
48,HL Touring Handlebars,[NULL],"<root xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelManuInstructions"">\n                Adventure Works CyclesWA-190A Instructions for Manufacturing and Assembling the HL Touring Handlebars Summary: This document contains manufacturing instructions for manufacturing and assembling the HL Touring Handlebars, Product Model 48. Instructions are work center specific and are identified by work center ID. These instructions must be followed in the order presented. Deviation from the instructions is not permitted unless an authorized Change Order detailing the deviation is provided by the Engineering Manager.<Location LaborHours=""1"" LotSize=""100"" MachineHours=""2.5"" SetupHours=""0.1"" LocationID=""10"">\n                    Work Center 10 - Frame Forming. The following instructions pertain to Work Center 10. (Setup hours = .10, Labor Hours = 1, Machine Hours = 2.5, Lot Sizing = 100)<step>\n                        Insert <material>aluminum sheet MS-2259</material> into tool <tool>T-51 Tube Forming tool</tool>.\n                    </step><step>\n                        Attach <tool>Trim Jig TJ-9</tool> to the upper and lower right corners of the aluminum sheet.\n                    </step><step>Route the aluminum sheet following the jig carefully. </step><step>\n                        Insert the cut pieces into <tool>Tube Forming Tool FT-91</tool> and press Start.\n                    </step><step>\n                        When finished, inspect the form for defects per Inspection Specification <specs>INFS-90</specs>.\n                    </step><step>Remove the lengths of tube from the tool and place it in the Completed or Rejected bin as appropriate.</step></Location><Location LaborHours=""1"" LotSize=""1"" MachineHours=""2"" SetupHours=""0.25"" LocationID=""20"">\n                    Work Center 20 - Frame Welding. The following instructions pertain to Work Center 20. (Setup hours = .25, Labor Hours = 1.0, Machine Hours = 2, Lot Sizing = 1)<step>\n                        Assemble all handlebar components following blueprint <blueprint>1112</blueprint>.\n                    </step><step>\n                        Using <tool>weld torch</tool>, weld all components together as shown in illustration <diag>5</diag></step><step>\n                        Inspect all weld joints per Adventure Works Cycles Inspection Specification <specs>INFS-222</specs>.\n                    </step></Location><Location LaborHours=""3.5"" LotSize=""1"" LocationID=""50"">\n                    Work Center 50 - SubAssembly. The following instructions pertain to Work Center 50. (Setup hours = .0, Labor Hours = 3.5, Machine Hours = 0, Lot Sizing = 1)<step>\n                        Slide the <material>stem</material> onto the <material>handlebar</material> centering it over the knurled section.\n                    </step><step>Take care not to scratch the handlebar.</step><step>The ends of the handlebar should turn toward the rear. </step><step>\n                        Attach the <material>Pinch Bolt (Product Number PB-6109)</material>, <material>Lock Washer 7 (Product Number LI-3800)</material>, and <material>Lock Nut 16 (Product Number LN-1213)</material> onto the stem.\n                    </step><step>Tighten the nut just enough to keep the handlebar from rotating in the stem. Do not over tighten. </step><step>\n                        Put a <material>Flat Washer 9 (Product Number FW-3400)</material> onto the <material>stem bolt</material>, and then insert the bolt down into the stem.\n                    </step><step>\n                        Thread the plug nut onto the stem bolt aligning it with the stem body as shown in illustration <diag>4</diag>. Insert the stem down into the lock nut until the minimum insertion line marked on the stem is hidden inside the nut.\n                    </step><step>\n                        Attach the <material>grips</material>.\n                    </step><step>\n                        Inspect per specification <specs>FI-225</specs>.\n</step></Location></root>","9da82e49-80ad-4918-9a54-31f4b0c8eabb",2015-04-15 16:34:29.027
49,LL Road Front Wheel,[NULL],[NULL],"90f759c1-2073-4d9f-854b-c6b6f3bf9162",2012-04-30 00:00:00.000
50,ML Road Front Wheel,[NULL],[NULL],"980c8cd0-4903-41f2-9ffc-773c7fe4c254",2012-04-30 00:00:00.000
51,HL Road Front Wheel,[NULL],[NULL],"02a562e2-4dfa-4778-bbac-bbddcecf99b0",2012-04-30 00:00:00.000
52,LL Mountain Handlebars,[NULL],[NULL],"699c2ac5-5406-46d2-863d-dcfb23fc7943",2012-04-30 00:00:00.000
53,Touring Pedal,[NULL],"<root xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelManuInstructions"">\n                Adventure Works CyclesWA-500 Instructions Assembling the Touring Pedal Summary: This document contains manufacturing instructions for assembling the Touring Pedal, Product Model 53. Instructions are work center specific and are identified by work center ID. These instructions must be followed in the order presented. Deviation from the instructions is not permitted unless an authorized Change Order detailing the deviation is provided by the Engineering Manager.<Location LaborHours=""0.5"" LotSize=""1"" LocationID=""50"">\n                    Work Center 50 - SubAssembly. The following instructions pertain to Work Center 50. (Setup hours = .0, Labor Hours = .5, Machine Hours = 0, Lot Sizing = 1)<step>\n                        Visually examine the pedal spindles to determine <material>left and right pedals</material>. The left and right pedals have different threading directions. It is important you identify them correctly.\n                    </step><step>\n                        Apply a small amount of <material>grease</material> to the left pedal and thread the pedal onto the <material>left crank arm</material> by hand.\n                    </step><step>If the threads do not turn easily, back the spindle out and re-start.</step><step>\n                        Securely tighten the spindle against the crank arm using a <tool>small wrench</tool>.\n                    </step><step>Apply a small amount of grease to the right pedal and thread the pedal onto the right crank arm by hand.</step><step>If the threads do not turn easily, back the spindle out and re-start.</step><step>Securely tighten the spindle against the crank arm using a small wrench.</step><step>\n                        Inspect per specification <specs>FI-520</specs>.\n</step></Location></root>",b98a3207-56fc-405c-a040-3c7a90cc7890,2015-04-15 16:34:29.027
54,ML Mountain Handlebars,[NULL],[NULL],c9fcc804-2cd7-4b8a-b186-9c409cc19df9,2012-04-30 00:00:00.000
55,HL Mountain Handlebars,[NULL],[NULL],"782c991b-a660-4561-a3f4-9bbd74259747",2012-04-30 00:00:00.000
56,LL Road Handlebars,[NULL],[NULL],a7e65199-84a8-437e-ad55-360c1df1d788,2012-04-30 00:00:00.000
57,ML Road Handlebars,[NULL],[NULL],"02200aa0-c369-4d77-a67c-75973efda81b",2012-04-30 00:00:00.000
58,HL Road Handlebars,[NULL],[NULL],"2489ddc5-1c89-4dec-af22-b0112ccec467",2012-04-30 00:00:00.000
59,LL Headset,[NULL],[NULL],"39afbba9-0f6c-44ee-b5e1-32fa93f897e6",2012-04-30 00:00:00.000
60,ML Headset,[NULL],[NULL],"6ba9f3b6-e08b-4ac2-a725-b41114c2a283",2012-04-30 00:00:00.000
61,HL Headset,[NULL],[NULL],e196d02e-9bf6-4c67-b772-ed9f86ccf44c,2012-04-30 00:00:00.000
62,LL Mountain Pedal,[NULL],[NULL],"8123f7e2-a5f4-4047-b69d-e74313dfebce",2013-04-30 00:00:00.000
63,ML Mountain Pedal,[NULL],[NULL],be9cdc56-f4ab-40f1-b338-2e08e0627abd,2013-04-30 00:00:00.000
64,HL Mountain Pedal,[NULL],[NULL],"8da73708-8dae-44ae-ac6c-6e37022c1ffe",2013-04-30 00:00:00.000
65,ML Touring Seat/Saddle,[NULL],[NULL],"63a2199f-f5b5-49bd-bcfc-bec1d1d16d8b",2013-04-30 00:00:00.000
66,LL Touring Seat/Saddle,[NULL],"<root xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelManuInstructions"">\n                Adventure Works CyclesWA-620 Instructions Assembling the LL Touring Seat Summary: This document contains manufacturing instructions for assembling the LL Touring Seat, Product Model 63. Instructions are work center specific and are identified by work center ID. These instructions must be followed in the order presented. Deviation from the instructions is not permitted unless an authorized Change Order detailing the deviation is provided by the Engineering Manager.<Location LaborHours=""1.5"" LotSize=""1"" LocationID=""50"">\n                    Work Center 50 - SubAssembly. The following instructions pertain to Work Center 50. (Setup hours = .0, Labor Hours = 1.5, Machine Hours = 0, Lot Sizing = 1)<step>\n                        Put the <material>Seat post Lug (Product Number SL-0931)</material> on the <material>Seat Post (Product Number SP-2981)</material>.\n                    </step><step>\n                        Insert the <material>Pinch Bolt (Product Number PB-6109)</material> and tighten until it is secure but still able to slide up or down the post as shown in illustration <diag>6</diag>.\n                    </step><step>\n                        Attach the <material>LL Seat (Product Number SE-T312)</material> to the top of the Seat Post and tighten securely.\n                    </step><step>\n                        Inspect per specification <specs>FI-620</specs>.\n</step></Location></root>","4a17c43a-1a55-41bb-bc97-612f47cedeb3",2015-04-15 16:34:29.043
67,HL Touring Seat/Saddle,[NULL],"<root xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/ProductModelManuInstructions"">\n                Adventure Works CyclesWA-620 Instructions Assembling the HL Touring Seat Summary: This document contains manufacturing instructions for assembling the HL Touring Seat, Product Model 67. Instructions are work center specific and are identified by work center ID. These instructions must be followed in the order presented. Deviation from the instructions is not permitted unless an authorized Change Order detailing the deviation is provided by the Engineering Manager.<Location LaborHours=""1"" LotSize=""1"" SetupHours=""0.25"" LocationID=""50"">\n                    Work Center 50 - SubAssembly. The following instructions pertain to Work Center 50. (Setup hours = .25, Labor Hours = 1, Machine Hours = 0, Lot Sizing = 1)<step>\n                        Put the <material>Seatpost Lug (Product Number SL-0932)</material> on the <material>Seat Post (Product Number SP-3981)</material>.\n                    </step><step>\n                        Insert the <material>Pinch Bolt (Product Number PB-6109)</material> and tighten until it is secure but still able to slide up or down the post. See illustration <diag>6</diag>.\n                    </step><step>\n                        Attach the <material>HL Seat (Product Number SE-T315)</material> to the top of the Seat Post and tighten securely.\n                    </step><step>\n                        Inspect per specification <specs>FI-625</specs>.\n</step></Location></root>","059a2000-7549-4b49-8e0c-2de6b2771ef4",2015-04-15 16:34:29.043
68,LL Road Pedal,[NULL],[NULL],"218b016c-7454-4193-b518-21955c783d72",2013-04-30 00:00:00.000
69,ML Road Pedal,[NULL],[NULL],"3cdf61d6-6209-436f-b235-82e8f159208b",2013-04-30 00:00:00.000
70,HL Road Pedal,[NULL],[NULL],"35677b42-72ca-4d9e-a966-dd874b83ef45",2013-04-30 00:00:00.000
71,LL Mountain Seat/Saddle 1,[NULL],[NULL],a166af4c-87bb-41aa-8496-d76b26008fb3,2013-04-30 00:00:00.000
72,ML Mountain Seat/Saddle 1,[NULL],[NULL],baa9405b-68ca-4c18-bc9c-1c4acf49bafc,2013-04-30 00:00:00.000
73,HL Mountain Seat/Saddle 1,[NULL],[NULL],bbe4918f-198d-43c7-9f4b-79bc2aa08f2b,2013-04-30 00:00:00.000
74,LL Road Seat/Saddle 2,[NULL],[NULL],"24e3e7d4-4053-4035-9d69-f451642f0c1e",2013-04-30 00:00:00.000
75,ML Road Seat/Saddle 1,[NULL],[NULL],"394ed69c-2cc4-4a85-9080-8534112b66fe",2013-04-30 00:00:00.000
76,HL Road Seat/Saddle 1,[NULL],[NULL],b83ab7ae-ba3f-40df-8296-361915a3a60c,2013-04-30 00:00:00.000
77,ML Road Rear Wheel,[NULL],[NULL],"15702f98-bd92-4fe8-86bc-52f5fd049d3d",2012-04-30 00:00:00.000
78,HL Road Rear Wheel,[NULL],[NULL],"438cbcfa-05ff-4a29-ad95-ecf41dcb83d5",2012-04-30 00:00:00.000
79,LL Mountain Seat/Saddle 2,[NULL],[NULL],"8bbeb399-5a87-4e40-9f52-462fb54f2183",2013-04-30 00:00:00.000
80,ML Mountain Seat/Saddle 2,[NULL],[NULL],"5cefbb6e-3b7e-414f-ac1b-8f6df741fb21",2013-04-30 00:00:00.000
81,HL Mountain Seat/Saddle 2,[NULL],[NULL],"98726f80-e9b9-4141-9cf5-bd2ef07dce25",2013-04-30 00:00:00.000
82,LL Road Seat/Saddle 1,[NULL],[NULL],"00ce9171-8944-4d49-ba37-485c1d122f5c",2013-04-30 00:00:00.000
83,ML Road Seat/Saddle 2,[NULL],[NULL],feeb8440-446e-4df8-9482-d529c4fc5e8f,2013-04-30 00:00:00.000
84,HL Road Seat/Saddle 2,[NULL],[NULL],"0d3a6ad7-6891-4de9-b14f-e1a841eb220c",2013-04-30 00:00:00.000
85,LL Mountain Tire,[NULL],[NULL],e3cdc5dd-27c3-4891-9d5e-0d46d1b8457f,2013-04-30 00:00:00.000
86,ML Mountain Tire,[NULL],[NULL],"0434f63a-a361-4d0b-a9fc-8ac2a866ce85",2013-04-30 00:00:00.000
87,HL Mountain Tire,[NULL],[NULL],ce1b1064-6679-4212-8f56-2b2617ec56a5,2013-04-30 00:00:00.000
88,LL Road Tire,[NULL],[NULL],e7b00dff-8136-4947-b503-994584cc89e7,2013-04-30 00:00:00.000
89,ML Road Tire,[NULL],[NULL],d566eb0f-6945-43d8-bc40-bb3d2f4ef7ed,2013-04-30 00:00:00.000
90,HL Road Tire,[NULL],[NULL],a4b205df-955a-494e-8428-1898aea76f24,2013-04-30 00:00:00.000
91,Touring Tire,[NULL],[NULL],"3bcc63d6-9340-4b93-b5f2-73fa90758bf5",2013-04-30 00:00:00.000
92,Mountain Tire Tube,[NULL],[NULL],"8cfbe7f2-eec3-4ba6-8187-c8a3614f1f0b",2013-04-30 00:00:00.000
93,Road Tire Tube,[NULL],[NULL],"2771d2d2-2e35-4c12-966e-ce9070df6d53",2013-04-30 00:00:00.000
94,Touring Tire Tube,[NULL],[NULL],deeea9bc-3c8c-4e73-b6b0-64c81a5d99e3,2013-04-30 00:00:00.000
95,LL Bottom Bracket,[NULL],[NULL],"217e7475-d3f4-46fa-836a-d9e53103e71b",2013-04-30 00:00:00.000
96,ML Bottom Bracket,[NULL],[NULL],"09caa74e-f47b-4fca-b206-9d3e46df9751",2013-04-30 00:00:00.000
97,HL Bottom Bracket,[NULL],[NULL],"816360e1-3dee-4568-bf2f-9828243d887b",2013-04-30 00:00:00.000
98,Chain,[NULL],[NULL],aca920b2-d0f9-49f3-b879-573202b08c2f,2013-04-30 00:00:00.000
99,LL Crankset,[NULL],[NULL],"5b59f032-9b73-4d90-b252-eafd6a871ff1",2013-04-30 00:00:00.000
100,ML Crankset,[NULL],[NULL],"68c6cb29-d94a-40c5-aaad-90aa6e7c5ea1",2013-04-30 00:00:00.000
101,HL Crankset,[NULL],[NULL],"809668a3-d492-41fb-a196-cfe092a12aa2",2013-04-30 00:00:00.000
102,Front Brakes,[NULL],[NULL],"1099a23a-c9ed-41b1-8cc1-e2c1c54a10c8",2013-04-30 00:00:00.000
103,Front Derailleur,[NULL],[NULL],"10e0c8fd-ca13-437b-8e22-51853ae160a7",2013-04-30 00:00:00.000
104,LL Fork,[NULL],[NULL],"0481d7e1-4970-4efa-a560-020f6579918d",2012-04-30 00:00:00.000
105,ML Fork,[NULL],[NULL],"5f115aa4-0553-4478-84b3-5dcf3abe0d08",2012-04-30 00:00:00.000
106,HL Fork,[NULL],[NULL],"7706a8fd-9513-40bc-95e8-301b55b67db2",2012-04-30 00:00:00.000
107,Hydration Pack,[NULL],[NULL],cfeef30f-f059-4447-92a8-47001e69f3db,2013-04-30 00:00:00.000
108,Taillight,[NULL],[NULL],dba643d4-4cf2-4507-b947-e817d8c5792b,2012-04-30 00:00:00.000
109,Headlights - Dual-Beam,[NULL],[NULL],"7b17ebf1-cb73-4934-9689-1dc26cf22d9c",2012-04-30 00:00:00.000
110,Headlights - Weatherproof,[NULL],[NULL],"1fadb88f-af88-4e94-bb1e-6158c48e6b40",2012-04-30 00:00:00.000
111,Water Bottle,[NULL],[NULL],"3688268a-260c-48bf-bf71-fff350d4d3d5",2013-04-30 00:00:00.000
112,Mountain Bottle Cage,[NULL],[NULL],"2194e65b-9c13-46e1-a655-3ebff8a96719",2013-04-30 00:00:00.000
113,Road Bottle Cage,[NULL],[NULL],"9416c2dd-55d8-469d-8edf-ef447c511897",2013-04-30 00:00:00.000
114,Patch kit,[NULL],[NULL],"7c738101-c01e-45a2-a0e0-b28aeba1dc40",2013-04-30 00:00:00.000
115,Cable Lock,[NULL],[NULL],e7e17f11-a7fd-4c3c-b701-68f0ae26143e,2012-04-30 00:00:00.000
116,Minipump,[NULL],[NULL],"90cef1a7-d817-403e-814c-40e305eeefef",2012-04-30 00:00:00.000
117,Mountain Pump,[NULL],[NULL],b35598f6-b413-4138-8081-5dc7d4c64b64,2012-04-30 00:00:00.000
118,Hitch Rack - 4-Bike,[NULL],[NULL],f570e0d1-e978-4ff2-b5b1-08f01ab60219,2013-04-30 00:00:00.000
119,Bike Wash,[NULL],[NULL],"90b1b93d-ebc8-44a2-ac08-cdd1d20ca39c",2013-04-30 00:00:00.000
120,Touring-Panniers,[NULL],[NULL],f06999a1-3aa7-4e85-b8cb-049eb2c391fa,2012-04-30 00:00:00.000
121,Fender Set - Mountain,[NULL],[NULL],c88d1136-a8bb-46bb-94aa-8c1854f813cc,2013-04-30 00:00:00.000
122,All-Purpose Bike Stand,[NULL],[NULL],"6eab8607-d927-40e1-af30-d8a2a953050c",2013-04-30 00:00:00.000
123,LL Mountain Rear Wheel,[NULL],[NULL],"29521f66-2926-471f-867b-668b0b9ec2b0",2012-04-30 00:00:00.000
124,ML Mountain Rear Wheel,[NULL],[NULL],d968d774-778e-4399-a3c5-375176418229,2012-04-30 00:00:00.000
125,HL Mountain Rear Wheel,[NULL],[NULL],"95450545-adf7-48f3-899e-964de8920dc6",2012-04-30 00:00:00.000
126,LL Road Rear Wheel,[NULL],[NULL],"95946bd4-c6d9-4344-8066-317d8957ea21",2012-04-30 00:00:00.000
127,Rear Derailleur,[NULL],[NULL],f9327e5d-f8b6-40c5-bfa9-63f886bdfc24,2013-04-30 00:00:00.000
128,Rear Brakes,[NULL],[NULL],"71d47afd-da3a-43f1-83ad-69c71f96ef33",2013-04-30 00:00:00.000
