"productid","productphotoid","primary","modifieddate"
1,1,true,2008-03-31 00:00:00.000
2,1,true,2008-03-31 00:00:00.000
3,1,true,2008-03-31 00:00:00.000
4,1,true,2008-03-31 00:00:00.000
316,1,true,2008-03-31 00:00:00.000
317,1,true,2008-03-31 00:00:00.000
318,1,true,2008-03-31 00:00:00.000
319,1,true,2008-03-31 00:00:00.000
320,1,true,2008-03-31 00:00:00.000
321,1,true,2008-03-31 00:00:00.000
322,1,true,2008-03-31 00:00:00.000
323,1,true,2008-03-31 00:00:00.000
324,1,true,2008-03-31 00:00:00.000
325,1,true,2008-03-31 00:00:00.000
326,1,true,2008-03-31 00:00:00.000
327,1,true,2008-03-31 00:00:00.000
328,1,true,2008-03-31 00:00:00.000
329,1,true,2008-03-31 00:00:00.000
330,1,true,2008-03-31 00:00:00.000
331,1,true,2008-03-31 00:00:00.000
332,160,true,2008-03-31 00:00:00.000
341,1,true,2008-03-31 00:00:00.000
342,1,true,2008-03-31 00:00:00.000
343,1,true,2008-03-31 00:00:00.000
344,1,true,2008-03-31 00:00:00.000
345,1,true,2008-03-31 00:00:00.000
346,1,true,2008-03-31 00:00:00.000
347,1,true,2008-03-31 00:00:00.000
348,1,true,2008-03-31 00:00:00.000
349,1,true,2008-03-31 00:00:00.000
350,1,true,2008-03-31 00:00:00.000
351,1,true,2008-03-31 00:00:00.000
352,1,true,2008-03-31 00:00:00.000
355,1,true,2008-03-31 00:00:00.000
356,1,true,2008-03-31 00:00:00.000
357,1,true,2008-03-31 00:00:00.000
358,1,true,2008-03-31 00:00:00.000
359,1,true,2008-03-31 00:00:00.000
360,1,true,2008-03-31 00:00:00.000
361,1,true,2008-03-31 00:00:00.000
362,1,true,2008-03-31 00:00:00.000
363,1,true,2008-03-31 00:00:00.000
364,1,true,2008-03-31 00:00:00.000
365,1,true,2008-03-31 00:00:00.000
366,1,true,2008-03-31 00:00:00.000
367,1,true,2008-03-31 00:00:00.000
368,1,true,2008-03-31 00:00:00.000
369,1,true,2008-03-31 00:00:00.000
370,1,true,2008-03-31 00:00:00.000
371,1,true,2008-03-31 00:00:00.000
372,1,true,2008-03-31 00:00:00.000
373,1,true,2008-03-31 00:00:00.000
374,1,true,2008-03-31 00:00:00.000
375,1,true,2008-03-31 00:00:00.000
376,1,true,2008-03-31 00:00:00.000
377,1,true,2008-03-31 00:00:00.000
378,1,true,2008-03-31 00:00:00.000
379,1,true,2008-03-31 00:00:00.000
380,1,true,2008-03-31 00:00:00.000
381,1,true,2008-03-31 00:00:00.000
382,1,true,2008-03-31 00:00:00.000
383,1,true,2008-03-31 00:00:00.000
384,1,true,2008-03-31 00:00:00.000
385,1,true,2008-03-31 00:00:00.000
386,1,true,2008-03-31 00:00:00.000
387,1,true,2008-03-31 00:00:00.000
388,1,true,2008-03-31 00:00:00.000
389,1,true,2008-03-31 00:00:00.000
390,1,true,2008-03-31 00:00:00.000
391,1,true,2008-03-31 00:00:00.000
392,1,true,2008-03-31 00:00:00.000
393,1,true,2008-03-31 00:00:00.000
394,1,true,2008-03-31 00:00:00.000
395,1,true,2008-03-31 00:00:00.000
396,1,true,2008-03-31 00:00:00.000
397,1,true,2008-03-31 00:00:00.000
398,1,true,2008-03-31 00:00:00.000
399,1,true,2008-03-31 00:00:00.000
400,1,true,2008-03-31 00:00:00.000
401,1,true,2008-03-31 00:00:00.000
402,1,true,2008-03-31 00:00:00.000
403,1,true,2008-03-31 00:00:00.000
404,1,true,2008-03-31 00:00:00.000
405,1,true,2008-03-31 00:00:00.000
406,1,true,2008-03-31 00:00:00.000
407,1,true,2008-03-31 00:00:00.000
408,1,true,2008-03-31 00:00:00.000
409,1,true,2008-03-31 00:00:00.000
410,1,true,2008-03-31 00:00:00.000
411,1,true,2008-03-31 00:00:00.000
412,1,true,2008-03-31 00:00:00.000
413,1,true,2008-03-31 00:00:00.000
414,1,true,2008-03-31 00:00:00.000
415,1,true,2008-03-31 00:00:00.000
416,1,true,2008-03-31 00:00:00.000
417,1,true,2008-03-31 00:00:00.000
418,1,true,2008-03-31 00:00:00.000
419,1,true,2008-03-31 00:00:00.000
420,1,true,2008-03-31 00:00:00.000
421,1,true,2008-03-31 00:00:00.000
422,1,true,2008-03-31 00:00:00.000
423,1,true,2008-03-31 00:00:00.000
424,1,true,2008-03-31 00:00:00.000
425,1,true,2008-03-31 00:00:00.000
426,1,true,2008-03-31 00:00:00.000
427,1,true,2008-03-31 00:00:00.000
428,1,true,2008-03-31 00:00:00.000
429,1,true,2008-03-31 00:00:00.000
430,1,true,2008-03-31 00:00:00.000
431,1,true,2008-03-31 00:00:00.000
432,1,true,2008-03-31 00:00:00.000
433,1,true,2008-03-31 00:00:00.000
434,1,true,2008-03-31 00:00:00.000
435,1,true,2008-03-31 00:00:00.000
436,1,true,2008-03-31 00:00:00.000
437,1,true,2008-03-31 00:00:00.000
438,1,true,2008-03-31 00:00:00.000
439,1,true,2008-03-31 00:00:00.000
440,1,true,2008-03-31 00:00:00.000
441,1,true,2008-03-31 00:00:00.000
442,1,true,2008-03-31 00:00:00.000
443,1,true,2008-03-31 00:00:00.000
444,1,true,2008-03-31 00:00:00.000
445,1,true,2008-03-31 00:00:00.000
446,1,true,2008-03-31 00:00:00.000
447,1,true,2008-03-31 00:00:00.000
448,1,true,2008-03-31 00:00:00.000
449,1,true,2008-03-31 00:00:00.000
450,1,true,2008-03-31 00:00:00.000
451,1,true,2008-03-31 00:00:00.000
452,1,true,2008-03-31 00:00:00.000
453,1,true,2008-03-31 00:00:00.000
454,1,true,2008-03-31 00:00:00.000
455,1,true,2008-03-31 00:00:00.000
456,1,true,2008-03-31 00:00:00.000
457,1,true,2008-03-31 00:00:00.000
458,1,true,2008-03-31 00:00:00.000
459,1,true,2008-03-31 00:00:00.000
460,1,true,2008-03-31 00:00:00.000
461,1,true,2008-03-31 00:00:00.000
462,1,true,2008-03-31 00:00:00.000
463,1,true,2008-03-31 00:00:00.000
464,1,true,2008-03-31 00:00:00.000
465,1,true,2008-03-31 00:00:00.000
466,1,true,2008-03-31 00:00:00.000
467,1,true,2008-03-31 00:00:00.000
468,1,true,2008-03-31 00:00:00.000
469,1,true,2008-03-31 00:00:00.000
470,1,true,2008-03-31 00:00:00.000
471,1,true,2008-03-31 00:00:00.000
472,1,true,2008-03-31 00:00:00.000
473,1,true,2008-03-31 00:00:00.000
474,1,true,2008-03-31 00:00:00.000
475,1,true,2008-03-31 00:00:00.000
476,1,true,2008-03-31 00:00:00.000
477,1,true,2008-03-31 00:00:00.000
478,1,true,2008-03-31 00:00:00.000
479,1,true,2008-03-31 00:00:00.000
480,1,true,2008-03-31 00:00:00.000
481,1,true,2008-03-31 00:00:00.000
482,1,true,2008-03-31 00:00:00.000
483,1,true,2008-03-31 00:00:00.000
484,1,true,2008-03-31 00:00:00.000
485,1,true,2008-03-31 00:00:00.000
486,1,true,2008-03-31 00:00:00.000
487,1,true,2008-03-31 00:00:00.000
488,1,true,2008-03-31 00:00:00.000
489,1,true,2008-03-31 00:00:00.000
490,1,true,2008-03-31 00:00:00.000
491,1,true,2008-03-31 00:00:00.000
492,1,true,2008-03-31 00:00:00.000
493,1,true,2008-03-31 00:00:00.000
494,1,true,2008-03-31 00:00:00.000
495,1,true,2008-03-31 00:00:00.000
496,1,true,2008-03-31 00:00:00.000
497,1,true,2008-03-31 00:00:00.000
504,1,true,2008-03-31 00:00:00.000
505,1,true,2008-03-31 00:00:00.000
506,1,true,2008-03-31 00:00:00.000
507,1,true,2008-03-31 00:00:00.000
508,1,true,2008-03-31 00:00:00.000
509,1,true,2008-03-31 00:00:00.000
510,1,true,2008-03-31 00:00:00.000
511,1,true,2008-03-31 00:00:00.000
512,1,true,2008-03-31 00:00:00.000
513,1,true,2008-03-31 00:00:00.000
514,1,true,2008-03-31 00:00:00.000
515,1,true,2008-03-31 00:00:00.000
516,1,true,2008-03-31 00:00:00.000
517,1,true,2008-03-31 00:00:00.000
518,1,true,2008-03-31 00:00:00.000
519,1,true,2008-03-31 00:00:00.000
520,1,true,2008-03-31 00:00:00.000
521,1,true,2008-03-31 00:00:00.000
522,1,true,2008-03-31 00:00:00.000
523,1,true,2008-03-31 00:00:00.000
524,1,true,2008-03-31 00:00:00.000
525,1,true,2008-03-31 00:00:00.000
526,1,true,2008-03-31 00:00:00.000
527,1,true,2008-03-31 00:00:00.000
528,1,true,2008-03-31 00:00:00.000
529,1,true,2008-03-31 00:00:00.000
530,1,true,2008-03-31 00:00:00.000
531,1,true,2008-03-31 00:00:00.000
532,1,true,2008-03-31 00:00:00.000
533,1,true,2008-03-31 00:00:00.000
534,1,true,2008-03-31 00:00:00.000
535,1,true,2008-03-31 00:00:00.000
679,1,true,2008-03-31 00:00:00.000
680,1,true,2008-03-31 00:00:00.000
706,1,true,2008-03-31 00:00:00.000
707,1,true,2011-05-01 00:00:00.000
708,1,true,2011-05-01 00:00:00.000
709,1,true,2011-05-01 00:00:00.000
710,1,true,2011-05-01 00:00:00.000
711,1,true,2011-05-01 00:00:00.000
712,1,true,2011-05-01 00:00:00.000
713,162,true,2011-05-01 00:00:00.000
714,162,true,2011-05-01 00:00:00.000
715,162,true,2011-05-01 00:00:00.000
716,162,true,2011-05-01 00:00:00.000
717,1,true,2011-05-01 00:00:00.000
718,1,true,2011-05-01 00:00:00.000
719,1,true,2011-05-01 00:00:00.000
720,1,true,2011-05-01 00:00:00.000
721,1,true,2011-05-01 00:00:00.000
722,1,true,2011-05-01 00:00:00.000
723,1,true,2011-05-01 00:00:00.000
724,1,true,2011-05-01 00:00:00.000
725,1,true,2011-05-01 00:00:00.000
726,1,true,2011-05-01 00:00:00.000
727,1,true,2011-05-01 00:00:00.000
728,1,true,2011-05-01 00:00:00.000
729,1,true,2011-05-01 00:00:00.000
730,1,true,2011-05-01 00:00:00.000
731,1,true,2011-05-01 00:00:00.000
732,1,true,2011-05-01 00:00:00.000
733,1,true,2011-05-01 00:00:00.000
734,1,true,2011-05-01 00:00:00.000
735,1,true,2011-05-01 00:00:00.000
736,1,true,2011-05-01 00:00:00.000
737,1,true,2011-05-01 00:00:00.000
738,1,true,2011-05-01 00:00:00.000
739,143,true,2011-05-01 00:00:00.000
740,143,true,2011-05-01 00:00:00.000
741,143,true,2011-05-01 00:00:00.000
742,143,true,2011-05-01 00:00:00.000
743,139,true,2011-05-01 00:00:00.000
744,139,true,2011-05-01 00:00:00.000
745,139,true,2011-05-01 00:00:00.000
746,139,true,2011-05-01 00:00:00.000
747,139,true,2011-05-01 00:00:00.000
748,143,true,2011-05-01 00:00:00.000
749,126,true,2011-05-01 00:00:00.000
750,126,true,2011-05-01 00:00:00.000
751,126,true,2011-05-01 00:00:00.000
752,126,true,2011-05-01 00:00:00.000
753,126,true,2011-05-01 00:00:00.000
754,111,true,2011-05-01 00:00:00.000
755,111,true,2011-05-01 00:00:00.000
756,111,true,2011-05-01 00:00:00.000
757,111,true,2011-05-01 00:00:00.000
758,111,true,2011-05-01 00:00:00.000
759,126,true,2011-05-01 00:00:00.000
760,126,true,2011-05-01 00:00:00.000
761,126,true,2011-05-01 00:00:00.000
762,126,true,2011-05-01 00:00:00.000
763,126,true,2011-05-01 00:00:00.000
764,126,true,2011-05-01 00:00:00.000
765,118,true,2011-05-01 00:00:00.000
766,118,true,2011-05-01 00:00:00.000
767,118,true,2011-05-01 00:00:00.000
768,118,true,2011-05-01 00:00:00.000
769,118,true,2011-05-01 00:00:00.000
770,118,true,2011-05-01 00:00:00.000
771,128,true,2011-05-01 00:00:00.000
772,128,true,2011-05-01 00:00:00.000
773,128,true,2011-05-01 00:00:00.000
774,128,true,2011-05-01 00:00:00.000
775,118,true,2011-05-01 00:00:00.000
776,118,true,2011-05-01 00:00:00.000
777,118,true,2011-05-01 00:00:00.000
778,118,true,2011-05-01 00:00:00.000
779,84,true,2012-04-30 00:00:00.000
780,84,true,2012-04-30 00:00:00.000
781,84,true,2012-04-30 00:00:00.000
782,78,true,2012-04-30 00:00:00.000
783,78,true,2012-04-30 00:00:00.000
784,78,true,2012-04-30 00:00:00.000
785,78,true,2012-04-30 00:00:00.000
786,78,true,2012-04-30 00:00:00.000
787,78,true,2012-04-30 00:00:00.000
788,78,true,2012-04-30 00:00:00.000
789,179,true,2012-04-30 00:00:00.000
790,179,true,2012-04-30 00:00:00.000
791,179,true,2012-04-30 00:00:00.000
792,179,true,2012-04-30 00:00:00.000
793,177,true,2012-04-30 00:00:00.000
794,177,true,2012-04-30 00:00:00.000
795,177,true,2012-04-30 00:00:00.000
796,177,true,2012-04-30 00:00:00.000
797,131,true,2012-04-30 00:00:00.000
798,131,true,2012-04-30 00:00:00.000
799,131,true,2012-04-30 00:00:00.000
800,131,true,2012-04-30 00:00:00.000
801,131,true,2012-04-30 00:00:00.000
802,138,true,2012-04-30 00:00:00.000
803,138,true,2012-04-30 00:00:00.000
804,138,true,2012-04-30 00:00:00.000
805,1,true,2012-04-30 00:00:00.000
806,1,true,2012-04-30 00:00:00.000
807,1,true,2012-04-30 00:00:00.000
808,145,true,2012-04-30 00:00:00.000
809,1,true,2012-04-30 00:00:00.000
810,1,true,2012-04-30 00:00:00.000
811,1,true,2012-04-30 00:00:00.000
812,1,true,2012-04-30 00:00:00.000
813,1,true,2012-04-30 00:00:00.000
814,1,true,2012-04-30 00:00:00.000
815,160,true,2012-04-30 00:00:00.000
816,160,true,2012-04-30 00:00:00.000
817,160,true,2012-04-30 00:00:00.000
818,160,true,2012-04-30 00:00:00.000
819,160,true,2012-04-30 00:00:00.000
820,160,true,2012-04-30 00:00:00.000
821,160,true,2012-04-30 00:00:00.000
822,1,true,2012-04-30 00:00:00.000
823,160,true,2012-04-30 00:00:00.000
824,160,true,2012-04-30 00:00:00.000
825,160,true,2012-04-30 00:00:00.000
826,160,true,2012-04-30 00:00:00.000
827,160,true,2012-04-30 00:00:00.000
828,160,true,2012-04-30 00:00:00.000
829,160,true,2012-04-30 00:00:00.000
830,1,true,2012-04-30 00:00:00.000
831,1,true,2012-04-30 00:00:00.000
832,1,true,2012-04-30 00:00:00.000
833,1,true,2012-04-30 00:00:00.000
834,1,true,2012-04-30 00:00:00.000
835,1,true,2012-04-30 00:00:00.000
836,1,true,2012-04-30 00:00:00.000
837,1,true,2012-04-30 00:00:00.000
838,1,true,2012-04-30 00:00:00.000
839,1,true,2012-04-30 00:00:00.000
840,1,true,2012-04-30 00:00:00.000
841,176,true,2012-04-30 00:00:00.000
842,1,true,2012-04-30 00:00:00.000
843,167,true,2012-04-30 00:00:00.000
844,172,true,2012-04-30 00:00:00.000
845,166,true,2012-04-30 00:00:00.000
846,156,true,2012-04-30 00:00:00.000
847,137,true,2012-04-30 00:00:00.000
848,153,true,2012-04-30 00:00:00.000
849,176,true,2012-04-30 00:00:00.000
850,176,true,2012-04-30 00:00:00.000
851,176,true,2012-04-30 00:00:00.000
852,1,true,2012-04-30 00:00:00.000
853,1,true,2012-04-30 00:00:00.000
854,1,true,2012-04-30 00:00:00.000
855,1,true,2012-04-30 00:00:00.000
856,1,true,2012-04-30 00:00:00.000
857,1,true,2012-04-30 00:00:00.000
858,1,true,2012-04-30 00:00:00.000
859,1,true,2012-04-30 00:00:00.000
860,1,true,2012-04-30 00:00:00.000
861,1,true,2012-04-30 00:00:00.000
862,1,true,2012-04-30 00:00:00.000
863,1,true,2012-04-30 00:00:00.000
864,1,true,2013-04-30 00:00:00.000
865,1,true,2013-04-30 00:00:00.000
866,1,true,2013-04-30 00:00:00.000
867,175,true,2013-04-30 00:00:00.000
868,175,true,2013-04-30 00:00:00.000
869,175,true,2013-04-30 00:00:00.000
870,159,true,2013-04-30 00:00:00.000
871,1,true,2013-04-30 00:00:00.000
872,158,true,2013-04-30 00:00:00.000
873,157,true,2013-04-30 00:00:00.000
874,1,true,2013-04-30 00:00:00.000
875,1,true,2013-04-30 00:00:00.000
876,1,true,2013-04-30 00:00:00.000
877,1,true,2013-04-30 00:00:00.000
878,1,true,2013-04-30 00:00:00.000
879,1,true,2013-04-30 00:00:00.000
880,1,true,2013-04-30 00:00:00.000
881,165,true,2013-04-30 00:00:00.000
882,165,true,2013-04-30 00:00:00.000
883,165,true,2013-04-30 00:00:00.000
884,165,true,2013-04-30 00:00:00.000
885,1,true,2013-04-30 00:00:00.000
886,141,true,2013-04-30 00:00:00.000
887,1,true,2013-04-30 00:00:00.000
888,1,true,2013-04-30 00:00:00.000
889,1,true,2013-04-30 00:00:00.000
890,1,true,2013-04-30 00:00:00.000
891,1,true,2013-04-30 00:00:00.000
892,1,true,2013-04-30 00:00:00.000
893,1,true,2013-04-30 00:00:00.000
894,154,true,2013-04-30 00:00:00.000
895,1,true,2013-04-30 00:00:00.000
896,1,true,2013-04-30 00:00:00.000
897,1,true,2013-04-30 00:00:00.000
898,1,true,2013-04-30 00:00:00.000
899,141,true,2013-04-30 00:00:00.000
900,141,true,2013-04-30 00:00:00.000
901,141,true,2013-04-30 00:00:00.000
902,141,true,2013-04-30 00:00:00.000
903,1,true,2013-04-30 00:00:00.000
904,1,true,2013-04-30 00:00:00.000
905,1,true,2013-04-30 00:00:00.000
906,1,true,2013-04-30 00:00:00.000
907,1,true,2013-04-30 00:00:00.000
908,149,true,2013-04-30 00:00:00.000
909,1,true,2013-04-30 00:00:00.000
910,1,true,2013-04-30 00:00:00.000
911,1,true,2013-04-30 00:00:00.000
912,1,true,2013-04-30 00:00:00.000
913,1,true,2013-04-30 00:00:00.000
914,1,true,2013-04-30 00:00:00.000
915,1,true,2013-04-30 00:00:00.000
916,1,true,2013-04-30 00:00:00.000
917,1,true,2013-04-30 00:00:00.000
918,1,true,2013-04-30 00:00:00.000
919,1,true,2013-04-30 00:00:00.000
920,1,true,2013-04-30 00:00:00.000
921,1,true,2013-04-30 00:00:00.000
922,1,true,2013-04-30 00:00:00.000
923,173,true,2013-04-30 00:00:00.000
924,1,true,2013-04-30 00:00:00.000
925,1,true,2013-04-30 00:00:00.000
926,1,true,2013-04-30 00:00:00.000
927,1,true,2013-04-30 00:00:00.000
928,1,true,2013-04-30 00:00:00.000
929,1,true,2013-04-30 00:00:00.000
930,146,true,2013-04-30 00:00:00.000
931,1,true,2013-04-30 00:00:00.000
932,1,true,2013-04-30 00:00:00.000
933,155,true,2013-04-30 00:00:00.000
934,1,true,2013-04-30 00:00:00.000
935,147,true,2013-04-30 00:00:00.000
936,147,true,2013-04-30 00:00:00.000
937,147,true,2013-04-30 00:00:00.000
938,135,true,2013-04-30 00:00:00.000
939,135,true,2013-04-30 00:00:00.000
940,135,true,2013-04-30 00:00:00.000
941,135,true,2013-04-30 00:00:00.000
942,1,true,2013-04-30 00:00:00.000
943,1,true,2013-04-30 00:00:00.000
944,1,true,2013-04-30 00:00:00.000
945,1,true,2013-04-30 00:00:00.000
946,1,true,2013-04-30 00:00:00.000
947,1,true,2013-04-30 00:00:00.000
948,1,true,2013-04-30 00:00:00.000
949,1,true,2013-04-30 00:00:00.000
950,1,true,2013-04-30 00:00:00.000
951,1,true,2013-04-30 00:00:00.000
952,150,true,2013-04-30 00:00:00.000
953,87,true,2013-04-30 00:00:00.000
954,99,true,2013-04-30 00:00:00.000
955,99,true,2013-04-30 00:00:00.000
956,99,true,2013-04-30 00:00:00.000
957,99,true,2013-04-30 00:00:00.000
958,87,true,2013-04-30 00:00:00.000
959,87,true,2013-04-30 00:00:00.000
960,87,true,2013-04-30 00:00:00.000
961,99,true,2013-04-30 00:00:00.000
962,99,true,2013-04-30 00:00:00.000
963,99,true,2013-04-30 00:00:00.000
964,99,true,2013-04-30 00:00:00.000
965,99,true,2013-04-30 00:00:00.000
966,87,true,2013-04-30 00:00:00.000
967,87,true,2013-04-30 00:00:00.000
968,87,true,2013-04-30 00:00:00.000
969,87,true,2013-04-30 00:00:00.000
970,87,true,2013-04-30 00:00:00.000
971,87,true,2013-04-30 00:00:00.000
972,87,true,2013-04-30 00:00:00.000
973,113,true,2013-04-30 00:00:00.000
974,113,true,2013-04-30 00:00:00.000
975,113,true,2013-04-30 00:00:00.000
976,113,true,2013-04-30 00:00:00.000
977,102,true,2013-04-30 00:00:00.000
978,87,true,2013-04-30 00:00:00.000
979,87,true,2013-04-30 00:00:00.000
980,80,true,2013-04-30 00:00:00.000
981,80,true,2013-04-30 00:00:00.000
982,80,true,2013-04-30 00:00:00.000
983,80,true,2013-04-30 00:00:00.000
984,1,true,2013-04-30 00:00:00.000
985,1,true,2013-04-30 00:00:00.000
986,1,true,2013-04-30 00:00:00.000
987,1,true,2013-04-30 00:00:00.000
988,1,true,2013-04-30 00:00:00.000
989,1,true,2013-04-30 00:00:00.000
990,1,true,2013-04-30 00:00:00.000
991,1,true,2013-04-30 00:00:00.000
992,1,true,2013-04-30 00:00:00.000
993,1,true,2013-04-30 00:00:00.000
994,1,true,2013-04-30 00:00:00.000
995,1,true,2013-04-30 00:00:00.000
996,1,true,2013-04-30 00:00:00.000
997,102,true,2013-04-30 00:00:00.000
998,102,true,2013-04-30 00:00:00.000
999,102,true,2013-04-30 00:00:00.000
