"productid","businessentityid","averageleadtime","standardprice","lastreceiptcost","lastreceiptdate","minorderqty","maxorderqty","onorderqty","unitmeasurecode","modifieddate"
1,1580,17,47.87,50.2635,2011-08-29 00:00:00.000,1,5,3,CS ,2011-08-29 00:00:00.000
2,1688,19,39.92,41.916,2011-08-29 00:00:00.000,1,5,3,CTN,2011-08-29 00:00:00.000
4,1650,17,54.31,57.0255,2011-08-29 00:00:00.000,1,5,,CTN,2011-08-29 00:00:00.000
317,1578,19,28.17,29.5785,2011-08-29 00:00:00.000,100,1000,300,EA ,2011-08-29 00:00:00.000
317,1678,17,25.77,27.0585,2011-08-25 00:00:00.000,100,1000,,EA ,2011-08-25 00:00:00.000
318,1578,19,34.38,36.099,2011-08-29 00:00:00.000,100,1000,,EA ,2011-08-29 00:00:00.000
318,1678,17,31.98,33.579,2011-08-25 00:00:00.000,100,1000,300,EA ,2011-08-25 00:00:00.000
319,1556,19,44.21,46.4205,2011-08-29 00:00:00.000,100,1000,300,EA ,2011-08-29 00:00:00.000
319,1578,19,46.27,48.5835,2011-08-29 00:00:00.000,100,1000,,EA ,2011-08-29 00:00:00.000
319,1678,17,43.87,46.0635,2011-08-25 00:00:00.000,100,1000,,EA ,2011-08-25 00:00:00.000
320,1514,19,47.28,49.644,2011-08-29 00:00:00.000,1,5,3,CAN,2011-08-29 00:00:00.000
320,1602,17,45.21,47.4705,2011-08-19 00:00:00.000,1,5,,CAN,2011-08-19 00:00:00.000
320,1604,17,43.21,45.3705,2011-08-25 00:00:00.000,1,5,,CAN,2011-08-25 00:00:00.000
321,1514,19,42.21,44.3205,2011-08-29 00:00:00.000,1,5,,CAN,2011-08-29 00:00:00.000
321,1602,17,40.76,42.798,2011-08-19 00:00:00.000,1,5,,CAN,2011-08-19 00:00:00.000
321,1604,17,38.56,40.488,2011-08-25 00:00:00.000,1,5,,CAN,2011-08-25 00:00:00.000
322,1514,19,27.33,28.6965,2011-08-24 00:00:00.000,20,100,,DZ ,2011-08-24 00:00:00.000
322,1602,17,24.21,25.4205,2011-08-25 00:00:00.000,20,100,,DZ ,2011-08-25 00:00:00.000
322,1604,17,25.11,26.3655,2011-08-25 00:00:00.000,20,100,,DZ ,2011-08-25 00:00:00.000
323,1698,17,47.87,50.2635,2011-08-25 00:00:00.000,1,5,,CS ,2011-08-25 00:00:00.000
325,1590,19,0.2,0.21,2011-08-29 00:00:00.000,500,2000,,EA ,2011-08-29 00:00:00.000
326,1590,19,0.2,0.21,2011-08-29 00:00:00.000,500,2000,,EA ,2011-08-29 00:00:00.000
332,1608,19,10.3,10.815,2011-08-29 00:00:00.000,100,1000,,EA ,2011-08-29 00:00:00.000
341,1598,15,39.21,41.1705,2011-08-26 00:00:00.000,1,5,3,CTN,2011-08-26 00:00:00.000
341,1614,19,45.31,47.5755,2011-08-28 00:00:00.000,1,5,,CTN,2011-08-28 00:00:00.000
341,1622,19,45.21,47.4705,2011-08-22 00:00:00.000,1,5,,CTN,2011-08-22 00:00:00.000
342,1598,15,37.21,39.0705,2011-08-26 00:00:00.000,1,5,3,CTN,2011-08-26 00:00:00.000
342,1614,19,43.31,45.4755,2011-08-28 00:00:00.000,1,5,,CTN,2011-08-28 00:00:00.000
342,1622,19,43.21,45.3705,2011-08-22 00:00:00.000,1,5,,CTN,2011-08-22 00:00:00.000
343,1598,15,41.28,43.344,2011-08-26 00:00:00.000,1,5,,CTN,2011-08-26 00:00:00.000
343,1614,19,47.38,49.749,2011-08-28 00:00:00.000,1,5,,CTN,2011-08-28 00:00:00.000
343,1622,19,47.28,49.644,2011-08-22 00:00:00.000,1,5,,CTN,2011-08-22 00:00:00.000
344,1598,15,37.21,39.0705,2011-08-07 00:00:00.000,1,5,3,CTN,2011-08-07 00:00:00.000
344,1614,19,43.31,45.4755,2011-08-28 00:00:00.000,1,5,,CTN,2011-08-28 00:00:00.000
344,1622,19,43.21,45.3705,2011-08-28 00:00:00.000,1,5,,CTN,2011-08-28 00:00:00.000
345,1598,15,35.21,36.9705,2011-08-07 00:00:00.000,1,5,3,CTN,2011-08-07 00:00:00.000
345,1614,19,41.31,43.3755,2011-08-28 00:00:00.000,1,5,,CTN,2011-08-28 00:00:00.000
345,1622,19,41.21,43.2705,2011-08-28 00:00:00.000,1,5,,CTN,2011-08-28 00:00:00.000
346,1598,15,39.28,41.244,2011-08-13 00:00:00.000,1,5,,CTN,2011-08-13 00:00:00.000
346,1614,19,45.38,47.649,2011-08-28 00:00:00.000,1,5,,CTN,2011-08-28 00:00:00.000
346,1622,19,45.28,47.544,2011-08-28 00:00:00.000,1,5,,CTN,2011-08-28 00:00:00.000
347,1598,15,35.21,36.9705,2011-08-13 00:00:00.000,1,5,3,CTN,2011-08-13 00:00:00.000
347,1614,19,41.31,43.3755,2011-08-17 00:00:00.000,1,5,,CTN,2011-08-17 00:00:00.000
347,1622,19,41.21,43.2705,2011-08-28 00:00:00.000,1,5,,CTN,2011-08-28 00:00:00.000
348,1598,15,33.21,34.8705,2011-08-20 00:00:00.000,1,5,3,CTN,2011-08-20 00:00:00.000
348,1614,19,39.31,41.2755,2011-08-17 00:00:00.000,1,5,,CTN,2011-08-17 00:00:00.000
348,1622,19,39.21,41.1705,2011-08-28 00:00:00.000,1,5,,CTN,2011-08-28 00:00:00.000
349,1598,15,37.28,39.144,2011-08-20 00:00:00.000,1,5,3,CTN,2011-08-20 00:00:00.000
349,1614,19,43.38,45.549,2011-08-22 00:00:00.000,1,5,,CTN,2011-08-22 00:00:00.000
349,1622,19,43.28,45.444,2011-08-18 00:00:00.000,1,5,,CTN,2011-08-18 00:00:00.000
351,1544,15,5.5,5.775,2011-08-26 00:00:00.000,100,1000,,EA ,2011-08-26 00:00:00.000
351,1694,15,5.9,6.195,2011-08-26 00:00:00.000,100,1000,300,EA ,2011-08-26 00:00:00.000
352,1544,15,1.1,1.155,2011-08-26 00:00:00.000,100,1000,300,EA ,2011-08-26 00:00:00.000
352,1694,15,1.4,1.47,2011-08-26 00:00:00.000,100,1000,,EA ,2011-08-26 00:00:00.000
355,1508,15,1.3,1.365,2011-08-26 00:00:00.000,100,1000,300,EA ,2011-08-26 00:00:00.000
356,1516,18,3.43,3.6015,2011-08-27 00:00:00.000,20,100,,PAK,2011-08-27 00:00:00.000
356,1572,16,3.22,3.381,2011-08-28 00:00:00.000,20,100,60,PAK,2011-08-28 00:00:00.000
357,1516,18,3.79,3.9795,2011-08-27 00:00:00.000,20,100,,PAK,2011-08-27 00:00:00.000
357,1572,16,4.11,4.3155,2011-08-28 00:00:00.000,20,100,60,PAK,2011-08-28 00:00:00.000
358,1500,16,6.65,6.9825,2011-08-28 00:00:00.000,20,100,60,PAK,2011-08-28 00:00:00.000
359,1496,17,45.41,47.6805,2011-08-29 00:00:00.000,1,5,3,CS ,2011-08-29 00:00:00.000
359,1554,19,45.26,47.523,2011-08-11 00:00:00.000,1,5,,CS ,2011-08-11 00:00:00.000
360,1496,17,43.41,45.5805,2011-08-29 00:00:00.000,1,5,3,CS ,2011-08-29 00:00:00.000
360,1554,19,43.26,45.423,2011-08-11 00:00:00.000,1,5,,CS ,2011-08-11 00:00:00.000
361,1496,17,47.48,49.854,2011-08-05 00:00:00.000,1,5,,CS ,2011-08-05 00:00:00.000
361,1554,19,47.33,49.6965,2011-08-18 00:00:00.000,1,5,,CS ,2011-08-18 00:00:00.000
362,1496,17,43.41,45.5805,2011-08-05 00:00:00.000,1,5,3,CS ,2011-08-05 00:00:00.000
362,1554,19,43.26,45.423,2011-08-18 00:00:00.000,1,5,,CS ,2011-08-18 00:00:00.000
363,1496,17,41.41,43.4805,2011-08-05 00:00:00.000,1,5,,CS ,2011-08-05 00:00:00.000
363,1554,19,41.26,43.323,2011-08-18 00:00:00.000,1,5,,CS ,2011-08-18 00:00:00.000
364,1496,17,45.48,47.754,2011-08-12 00:00:00.000,1,5,3,CS ,2011-08-12 00:00:00.000
364,1554,19,45.33,47.5965,2011-08-24 00:00:00.000,1,5,,CS ,2011-08-24 00:00:00.000
365,1496,17,41.41,43.4805,2011-08-12 00:00:00.000,1,5,,CS ,2011-08-12 00:00:00.000
365,1554,19,41.26,43.323,2011-08-24 00:00:00.000,1,5,,CS ,2011-08-24 00:00:00.000
366,1496,17,39.41,41.3805,2011-08-12 00:00:00.000,1,5,3,CS ,2011-08-12 00:00:00.000
366,1554,19,39.26,41.223,2011-08-29 00:00:00.000,1,5,,CS ,2011-08-29 00:00:00.000
367,1496,17,43.48,45.654,2011-08-12 00:00:00.000,1,5,,CS ,2011-08-12 00:00:00.000
367,1554,19,43.33,45.4965,2011-08-29 00:00:00.000,1,5,,CS ,2011-08-29 00:00:00.000
368,1496,17,39.41,41.3805,2011-08-12 00:00:00.000,1,5,3,CS ,2011-08-12 00:00:00.000
368,1554,19,39.26,41.223,2011-08-29 00:00:00.000,1,5,,CS ,2011-08-29 00:00:00.000
369,1496,17,37.41,39.2805,2011-08-12 00:00:00.000,1,5,3,CS ,2011-08-12 00:00:00.000
369,1554,19,37.26,39.123,2011-08-29 00:00:00.000,1,5,,CS ,2011-08-29 00:00:00.000
370,1496,17,41.48,43.554,2011-08-18 00:00:00.000,1,5,3,CS ,2011-08-18 00:00:00.000
370,1554,19,41.33,43.3965,2011-07-30 00:00:00.000,1,5,,CS ,2011-07-30 00:00:00.000
371,1496,17,37.41,39.2805,2011-08-18 00:00:00.000,1,5,,CS ,2011-08-18 00:00:00.000
371,1554,19,37.26,39.123,2011-07-30 00:00:00.000,1,5,,CS ,2011-07-30 00:00:00.000
372,1496,17,35.41,37.1805,2011-08-18 00:00:00.000,1,5,3,CS ,2011-08-18 00:00:00.000
372,1554,19,35.26,37.023,2011-07-30 00:00:00.000,1,5,,CS ,2011-07-30 00:00:00.000
373,1496,17,39.48,41.454,2011-08-18 00:00:00.000,1,5,3,CS ,2011-08-18 00:00:00.000
373,1554,19,39.33,41.2965,2011-07-30 00:00:00.000,1,5,,CS ,2011-07-30 00:00:00.000
374,1496,17,35.41,37.1805,2011-08-24 00:00:00.000,1,5,3,CS ,2011-08-24 00:00:00.000
374,1554,19,35.26,37.023,2011-08-05 00:00:00.000,1,5,,CS ,2011-08-05 00:00:00.000
375,1536,15,41.28,43.344,2011-08-13 00:00:00.000,1,5,3,CTN,2011-08-13 00:00:00.000
375,1562,16,41.21,43.2705,2011-08-10 00:00:00.000,1,5,,CTN,2011-08-10 00:00:00.000
375,1656,16,41.21,43.2705,2011-07-29 00:00:00.000,1,5,,CTN,2011-07-29 00:00:00.000
376,1536,15,37.21,39.0705,2011-08-13 00:00:00.000,1,5,,CTN,2011-08-13 00:00:00.000
376,1562,16,39.21,41.1705,2011-08-10 00:00:00.000,1,5,,CTN,2011-08-10 00:00:00.000
376,1656,16,45.28,47.544,2011-07-29 00:00:00.000,1,5,,CTN,2011-07-29 00:00:00.000
377,1536,15,35.21,36.9705,2011-08-20 00:00:00.000,1,5,3,CTN,2011-08-20 00:00:00.000
377,1562,16,43.28,45.444,2011-08-17 00:00:00.000,1,5,,CTN,2011-08-17 00:00:00.000
377,1656,16,41.21,43.2705,2011-08-04 00:00:00.000,1,5,,CTN,2011-08-04 00:00:00.000
378,1536,15,39.28,41.244,2011-08-20 00:00:00.000,1,5,3,CTN,2011-08-20 00:00:00.000
378,1562,16,39.21,41.1705,2011-08-17 00:00:00.000,1,5,,CTN,2011-08-17 00:00:00.000
378,1656,16,39.21,41.1705,2011-08-04 00:00:00.000,1,5,,CTN,2011-08-04 00:00:00.000
379,1536,15,35.21,36.9705,2011-08-20 00:00:00.000,1,5,,CTN,2011-08-20 00:00:00.000
379,1562,16,37.21,39.0705,2011-08-17 00:00:00.000,1,5,,CTN,2011-08-17 00:00:00.000
379,1656,16,43.28,45.444,2011-08-04 00:00:00.000,1,5,,CTN,2011-08-04 00:00:00.000
380,1536,15,41.16,43.218,2011-08-26 00:00:00.000,1,5,3,CTN,2011-08-26 00:00:00.000
380,1562,16,41.28,43.344,2011-08-22 00:00:00.000,1,5,,CTN,2011-08-22 00:00:00.000
380,1656,16,39.21,41.1705,2011-08-10 00:00:00.000,1,5,,CTN,2011-08-10 00:00:00.000
381,1536,15,45.23,47.4915,2011-08-26 00:00:00.000,1,5,3,CTN,2011-08-26 00:00:00.000
381,1562,16,37.21,39.0705,2011-08-22 00:00:00.000,1,5,,CTN,2011-08-22 00:00:00.000
381,1656,16,37.21,39.0705,2011-08-10 00:00:00.000,1,5,,CTN,2011-08-10 00:00:00.000
382,1536,15,41.21,43.2705,2011-08-01 00:00:00.000,1,5,3,CTN,2011-08-01 00:00:00.000
382,1562,16,35.21,36.9705,2011-08-28 00:00:00.000,1,5,,CTN,2011-08-28 00:00:00.000
383,1536,15,45.28,47.544,2011-08-01 00:00:00.000,1,5,,CTN,2011-08-01 00:00:00.000
383,1562,16,39.28,41.244,2011-08-28 00:00:00.000,1,5,,CTN,2011-08-28 00:00:00.000
384,1536,15,41.21,43.2705,2011-08-01 00:00:00.000,1,5,3,CTN,2011-08-01 00:00:00.000
384,1562,16,35.21,36.9705,2011-08-28 00:00:00.000,1,5,,CTN,2011-08-28 00:00:00.000
385,1536,15,39.21,41.1705,2011-08-07 00:00:00.000,1,5,,CTN,2011-08-07 00:00:00.000
385,1562,16,41.16,43.218,2011-08-28 00:00:00.000,1,5,,CTN,2011-08-28 00:00:00.000
386,1536,15,43.28,45.444,2011-08-07 00:00:00.000,1,5,3,CTN,2011-08-07 00:00:00.000
386,1562,16,45.23,47.4915,2011-08-04 00:00:00.000,1,5,,CTN,2011-08-04 00:00:00.000
387,1536,15,39.21,41.1705,2011-08-07 00:00:00.000,1,5,3,CTN,2011-08-07 00:00:00.000
387,1562,16,41.21,43.2705,2011-08-04 00:00:00.000,1,5,,CTN,2011-08-04 00:00:00.000
388,1536,15,37.21,39.0705,2011-08-07 00:00:00.000,1,5,3,CTN,2011-08-07 00:00:00.000
388,1562,16,45.28,47.544,2011-08-04 00:00:00.000,1,5,,CTN,2011-08-04 00:00:00.000
389,1536,15,41.28,43.344,2011-08-07 00:00:00.000,1,5,,CTN,2011-08-07 00:00:00.000
389,1562,16,41.21,43.2705,2011-08-04 00:00:00.000,1,5,,CTN,2011-08-04 00:00:00.000
390,1536,15,37.21,39.0705,2011-08-07 00:00:00.000,1,5,3,CTN,2011-08-07 00:00:00.000
390,1562,16,39.21,41.1705,2011-08-04 00:00:00.000,1,5,,CTN,2011-08-04 00:00:00.000
391,1536,15,35.21,36.9705,2011-08-07 00:00:00.000,1,5,3,CTN,2011-08-07 00:00:00.000
391,1562,16,43.28,45.444,2011-08-04 00:00:00.000,1,5,,CTN,2011-08-04 00:00:00.000
392,1536,15,39.28,41.244,2011-08-07 00:00:00.000,1,5,3,CTN,2011-08-07 00:00:00.000
392,1562,16,39.21,41.1705,2011-08-04 00:00:00.000,1,5,,CTN,2011-08-04 00:00:00.000
393,1536,15,35.21,36.9705,2011-08-07 00:00:00.000,1,5,,CTN,2011-08-07 00:00:00.000
393,1562,16,37.21,39.0705,2011-08-04 00:00:00.000,1,5,,CTN,2011-08-04 00:00:00.000
394,1536,15,41.16,43.218,2011-08-07 00:00:00.000,1,5,3,CTN,2011-08-07 00:00:00.000
394,1562,16,41.28,43.344,2011-08-04 00:00:00.000,1,5,,CTN,2011-08-04 00:00:00.000
395,1536,15,45.23,47.4915,2011-08-07 00:00:00.000,1,5,3,CTN,2011-08-07 00:00:00.000
395,1562,16,37.21,39.0705,2011-08-04 00:00:00.000,1,5,,CTN,2011-08-04 00:00:00.000
396,1536,15,41.21,43.2705,2011-08-07 00:00:00.000,1,5,,CTN,2011-08-07 00:00:00.000
396,1562,16,35.21,36.9705,2011-08-04 00:00:00.000,1,5,,CTN,2011-08-04 00:00:00.000
397,1536,15,45.28,47.544,2011-08-07 00:00:00.000,1,5,,CTN,2011-08-07 00:00:00.000
397,1562,16,39.28,41.244,2011-08-04 00:00:00.000,1,5,,CTN,2011-08-04 00:00:00.000
402,1648,15,45.21,47.4705,2011-08-26 00:00:00.000,1,5,3,CTN,2011-08-26 00:00:00.000
403,1616,17,45.21,47.4705,2011-08-06 00:00:00.000,1,5,3,CAN,2011-08-06 00:00:00.000
403,1672,15,43.21,45.3705,2011-08-20 00:00:00.000,1,5,3,CAN,2011-08-20 00:00:00.000
403,1686,19,43.28,45.444,2011-08-28 00:00:00.000,1,5,,CAN,2011-08-28 00:00:00.000
404,1616,17,43.21,45.3705,2011-08-06 00:00:00.000,1,5,3,CAN,2011-08-06 00:00:00.000
404,1672,15,47.28,49.644,2011-08-20 00:00:00.000,1,5,3,CAN,2011-08-20 00:00:00.000
404,1686,19,39.21,41.1705,2011-08-28 00:00:00.000,1,5,,CAN,2011-08-28 00:00:00.000
405,1616,17,47.28,49.644,2011-08-12 00:00:00.000,1,5,3,CAN,2011-08-12 00:00:00.000
405,1672,15,43.21,45.3705,2011-08-20 00:00:00.000,1,5,3,CAN,2011-08-20 00:00:00.000
405,1686,19,37.21,39.0705,2011-08-04 00:00:00.000,1,5,,CAN,2011-08-04 00:00:00.000
406,1616,17,43.21,45.3705,2011-08-12 00:00:00.000,1,5,3,CAN,2011-08-12 00:00:00.000
406,1672,15,41.21,43.2705,2011-08-20 00:00:00.000,1,5,3,CAN,2011-08-20 00:00:00.000
406,1686,19,41.28,43.344,2011-08-04 00:00:00.000,1,5,,CAN,2011-08-04 00:00:00.000
407,1616,17,41.21,43.2705,2011-08-12 00:00:00.000,1,5,,CAN,2011-08-12 00:00:00.000
407,1672,15,45.28,47.544,2011-08-20 00:00:00.000,1,5,,CAN,2011-08-20 00:00:00.000
407,1686,19,37.21,39.0705,2011-08-04 00:00:00.000,1,5,,CAN,2011-08-04 00:00:00.000
408,1616,17,45.28,47.544,2011-08-19 00:00:00.000,1,5,3,CAN,2011-08-19 00:00:00.000
408,1672,15,41.21,43.2705,2011-08-20 00:00:00.000,1,5,3,CAN,2011-08-20 00:00:00.000
408,1686,19,35.21,36.9705,2011-08-10 00:00:00.000,1,5,,CAN,2011-08-10 00:00:00.000
409,1616,17,41.21,43.2705,2011-08-19 00:00:00.000,1,5,3,CAN,2011-08-19 00:00:00.000
409,1672,15,39.21,41.1705,2011-08-26 00:00:00.000,1,5,3,CAN,2011-08-26 00:00:00.000
409,1686,19,39.28,41.244,2011-08-10 00:00:00.000,1,5,,CAN,2011-08-10 00:00:00.000
410,1616,17,39.21,41.1705,2011-08-25 00:00:00.000,1,5,3,CAN,2011-08-25 00:00:00.000
410,1686,19,35.21,36.9705,2011-08-10 00:00:00.000,1,5,,CAN,2011-08-10 00:00:00.000
411,1616,17,43.28,45.444,2011-08-25 00:00:00.000,1,5,,CAN,2011-08-25 00:00:00.000
411,1686,19,33.21,34.8705,2011-08-10 00:00:00.000,1,5,,CAN,2011-08-10 00:00:00.000
412,1616,17,39.21,41.1705,2011-08-25 00:00:00.000,1,5,3,CAN,2011-08-25 00:00:00.000
412,1686,19,37.28,39.144,2011-08-10 00:00:00.000,1,5,,CAN,2011-08-10 00:00:00.000
413,1616,17,37.21,39.0705,2011-08-25 00:00:00.000,1,5,,CAN,2011-08-25 00:00:00.000
413,1686,19,45.31,47.5755,2011-08-10 00:00:00.000,1,5,,CAN,2011-08-10 00:00:00.000
414,1616,17,41.28,43.344,2011-07-24 00:00:00.000,1,5,3,CAN,2011-07-24 00:00:00.000
414,1686,19,43.31,45.4755,2011-08-17 00:00:00.000,1,5,,CAN,2011-08-17 00:00:00.000
415,1616,17,37.21,39.0705,2011-07-24 00:00:00.000,1,5,3,CAN,2011-07-24 00:00:00.000
415,1686,19,47.38,49.749,2011-08-17 00:00:00.000,1,5,,CAN,2011-08-17 00:00:00.000
416,1616,17,35.21,36.9705,2011-07-24 00:00:00.000,1,5,3,CAN,2011-07-24 00:00:00.000
416,1686,19,43.31,45.4755,2011-08-17 00:00:00.000,1,5,,CAN,2011-08-17 00:00:00.000
417,1616,17,39.28,41.244,2011-07-24 00:00:00.000,1,5,,CAN,2011-07-24 00:00:00.000
417,1686,19,41.31,43.3755,2011-08-17 00:00:00.000,1,5,,CAN,2011-08-17 00:00:00.000
418,1616,17,35.21,36.9705,2011-07-31 00:00:00.000,1,5,3,CAN,2011-07-31 00:00:00.000
418,1686,19,45.38,47.649,2011-08-22 00:00:00.000,1,5,,CAN,2011-08-22 00:00:00.000
419,1616,17,33.21,34.8705,2011-07-31 00:00:00.000,1,5,3,CAN,2011-07-31 00:00:00.000
419,1686,19,41.31,43.3755,2011-08-22 00:00:00.000,1,5,,CAN,2011-08-22 00:00:00.000
420,1616,17,37.28,39.144,2011-07-31 00:00:00.000,1,5,3,CAN,2011-07-31 00:00:00.000
420,1686,19,39.31,41.2755,2011-08-22 00:00:00.000,1,5,,CAN,2011-08-22 00:00:00.000
421,1616,17,45.31,47.5755,2011-07-31 00:00:00.000,1,5,3,CAN,2011-07-31 00:00:00.000
421,1686,19,43.38,45.549,2011-08-22 00:00:00.000,1,5,,CAN,2011-08-22 00:00:00.000
422,1492,17,45.26,47.523,2011-08-12 00:00:00.000,1,5,,CTN,2011-08-12 00:00:00.000
422,1534,19,45.41,47.6805,2011-08-17 00:00:00.000,1,5,,CTN,2011-08-17 00:00:00.000
422,1666,16,45.41,47.6805,2011-08-21 00:00:00.000,1,5,,CTN,2011-08-21 00:00:00.000
423,1492,17,43.26,45.423,2011-08-12 00:00:00.000,1,5,,CTN,2011-08-12 00:00:00.000
423,1534,19,43.41,45.5805,2011-08-17 00:00:00.000,1,5,,CTN,2011-08-17 00:00:00.000
423,1666,16,43.41,45.5805,2011-08-21 00:00:00.000,1,5,,CTN,2011-08-21 00:00:00.000
424,1492,17,47.33,49.6965,2011-08-19 00:00:00.000,1,5,,CTN,2011-08-19 00:00:00.000
424,1534,19,47.48,49.854,2011-08-17 00:00:00.000,1,5,,CTN,2011-08-17 00:00:00.000
424,1666,16,47.48,49.854,2011-08-27 00:00:00.000,1,5,,CTN,2011-08-27 00:00:00.000
425,1492,17,43.26,45.423,2011-08-19 00:00:00.000,1,5,,CTN,2011-08-19 00:00:00.000
425,1534,19,43.41,45.5805,2011-08-17 00:00:00.000,1,5,,CTN,2011-08-17 00:00:00.000
425,1666,16,43.41,45.5805,2011-08-27 00:00:00.000,1,5,,CTN,2011-08-27 00:00:00.000
426,1492,17,41.26,43.323,2011-08-19 00:00:00.000,1,5,,CTN,2011-08-19 00:00:00.000
426,1534,19,41.41,43.4805,2011-08-17 00:00:00.000,1,5,,CTN,2011-08-17 00:00:00.000
426,1666,16,41.41,43.4805,2011-08-27 00:00:00.000,1,5,,CTN,2011-08-27 00:00:00.000
427,1492,17,45.33,47.5965,2011-08-25 00:00:00.000,1,5,,CTN,2011-08-25 00:00:00.000
427,1534,19,45.48,47.754,2011-08-22 00:00:00.000,1,5,,CTN,2011-08-22 00:00:00.000
427,1666,16,45.48,47.754,2011-08-03 00:00:00.000,1,5,,CTN,2011-08-03 00:00:00.000
428,1492,17,41.26,43.323,2011-08-25 00:00:00.000,1,5,,CTN,2011-08-25 00:00:00.000
428,1534,19,41.41,43.4805,2011-08-22 00:00:00.000,1,5,,CTN,2011-08-22 00:00:00.000
428,1666,16,41.41,43.4805,2011-08-03 00:00:00.000,1,5,,CTN,2011-08-03 00:00:00.000
429,1492,17,39.26,41.223,2011-07-24 00:00:00.000,1,5,,CTN,2011-07-24 00:00:00.000
429,1534,19,39.41,41.3805,2011-08-22 00:00:00.000,1,5,,CTN,2011-08-22 00:00:00.000
429,1666,16,39.41,41.3805,2011-08-03 00:00:00.000,1,5,,CTN,2011-08-03 00:00:00.000
430,1492,17,43.33,45.4965,2011-07-24 00:00:00.000,1,5,,CTN,2011-07-24 00:00:00.000
430,1534,19,43.48,45.654,2011-08-22 00:00:00.000,1,5,,CTN,2011-08-22 00:00:00.000
430,1666,16,43.48,45.654,2011-08-03 00:00:00.000,1,5,,CTN,2011-08-03 00:00:00.000
431,1492,17,39.26,41.223,2011-07-24 00:00:00.000,1,5,,CTN,2011-07-24 00:00:00.000
431,1534,19,39.41,41.3805,2011-08-22 00:00:00.000,1,5,,CTN,2011-08-22 00:00:00.000
431,1666,16,39.41,41.3805,2011-08-03 00:00:00.000,1,5,,CTN,2011-08-03 00:00:00.000
432,1492,17,37.26,39.123,2011-07-24 00:00:00.000,1,5,,CTN,2011-07-24 00:00:00.000
432,1534,19,37.41,39.2805,2011-08-22 00:00:00.000,1,5,,CTN,2011-08-22 00:00:00.000
432,1666,16,37.41,39.2805,2011-08-03 00:00:00.000,1,5,,CTN,2011-08-03 00:00:00.000
433,1492,17,41.33,43.3965,2011-07-31 00:00:00.000,1,5,,CTN,2011-07-31 00:00:00.000
433,1534,19,41.48,43.554,2011-08-28 00:00:00.000,1,5,,CTN,2011-08-28 00:00:00.000
433,1666,16,41.48,43.554,2011-08-10 00:00:00.000,1,5,,CTN,2011-08-10 00:00:00.000
434,1492,17,37.26,39.123,2011-07-31 00:00:00.000,1,5,,CTN,2011-07-31 00:00:00.000
434,1534,19,37.41,39.2805,2011-08-28 00:00:00.000,1,5,,CTN,2011-08-28 00:00:00.000
434,1666,16,37.41,39.2805,2011-08-10 00:00:00.000,1,5,,CTN,2011-08-10 00:00:00.000
435,1492,17,35.26,37.023,2011-07-31 00:00:00.000,1,5,,CTN,2011-07-31 00:00:00.000
435,1534,19,35.41,37.1805,2011-08-28 00:00:00.000,1,5,,CTN,2011-08-28 00:00:00.000
